Date,Time,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
24 Oct 2023,19:30,Denver Nuggets,Los Angeles Lakers,119,107,-189,+163
24 Oct 2023,22:00,Golden State Warriors,Phoenix Suns,104,108,-145,+125
25 Oct 2023,19:00,Orlando Magic,Houston Rockets,116,86,-182,+156
25 Oct 2023,19:00,New York Knicks,Boston Celtics,104,108,+149,-169
25 Oct 2023,19:00,Indiana Pacers,Washington Wizards,143,120,-192,+163
25 Oct 2023,19:00,Charlotte Hornets,Atlanta Hawks,116,110,+150,-175
25 Oct 2023,19:30,Toronto Raptors,Minnesota Timberwolves,97,94,-114,-103
25 Oct 2023,19:30,Miami Heat,Detroit Pistons,103,102,-455,+343
25 Oct 2023,19:30,Brooklyn Nets,Cleveland Cavaliers,113,114,+106,-123
25 Oct 2023,20:00,Memphis Grizzlies,New Orleans Pelicans,104,111,-115,-101
25 Oct 2023,20:00,Chicago Bulls,Oklahoma City Thunder,104,124,-141,+122
25 Oct 2023,21:00,Utah Jazz,Sacramento Kings,114,130,+104,-122
25 Oct 2023,21:30,San Antonio Spurs,Dallas Mavericks,119,126,+161,-189
25 Oct 2023,22:30,Los Angeles Clippers,Portland Trail Blazers,123,111,-455,+359
26 Oct 2023,19:30,Milwaukee Bucks,Philadelphia 76ers,118,117,-244,+204
26 Oct 2023,22:00,Los Angeles Lakers,Phoenix Suns,100,95,-244,+200
27 Oct 2023,19:00,Memphis Grizzlies,Denver Nuggets,104,108,+179,-217
27 Oct 2023,19:00,Charlotte Hornets,Detroit Pistons,99,111,-182,+156
27 Oct 2023,19:30,Cleveland Cavaliers,Oklahoma City Thunder,105,108,-145,+125
27 Oct 2023,19:30,Boston Celtics,Miami Heat,119,111,-345,+283
27 Oct 2023,19:30,Atlanta Hawks,New York Knicks,120,126,-104,-112
27 Oct 2023,20:00,San Antonio Spurs,Houston Rockets,126,122,-149,+131
27 Oct 2023,20:00,Chicago Bulls,Toronto Raptors,104,103,-133,+116
27 Oct 2023,20:30,Dallas Mavericks,Brooklyn Nets,125,120,-233,+196
27 Oct 2023,21:30,Utah Jazz,Los Angeles Clippers,120,118,+149,-172
27 Oct 2023,22:00,Sacramento Kings,Golden State Warriors,114,122,-152,+131
27 Oct 2023,22:00,Portland Trail Blazers,Orlando Magic,97,102,+139,-159
28 Oct 2023,19:00,Washington Wizards,Memphis Grizzlies,113,106,-108,-110
28 Oct 2023,19:00,New Orleans Pelicans,New York Knicks,96,87,-147,+127
28 Oct 2023,19:00,Detroit Pistons,Chicago Bulls,118,102,+117,-137
28 Oct 2023,19:30,Toronto Raptors,Philadelphia 76ers,107,114,+162,-192
28 Oct 2023,19:30,Cleveland Cavaliers,Indiana Pacers,113,125,+138,-159
28 Oct 2023,20:00,Minnesota Timberwolves,Miami Heat,106,90,-,-
28 Oct 2023,22:00,Phoenix Suns,Utah Jazz,126,104,-213,+177
29 Oct 2023,15:30,Oklahoma City Thunder,Denver Nuggets,95,128,+137,-159
29 Oct 2023,19:00,Milwaukee Bucks,Atlanta Hawks,110,127,-250,+206
29 Oct 2023,19:00,Houston Rockets,Golden State Warriors,95,106,+221,-278
29 Oct 2023,19:30,Philadelphia 76ers,Portland Trail Blazers,126,98,-435,+325
29 Oct 2023,21:00,Sacramento Kings,Los Angeles Lakers,132,127,-133,+114
29 Oct 2023,21:00,Los Angeles Clippers,San Antonio Spurs,123,83,-400,+313
30 Oct 2023,19:00,Washington Wizards,Boston Celtics,107,126,+384,-526
30 Oct 2023,19:00,Indiana Pacers,Chicago Bulls,105,112,-152,+131
30 Oct 2023,19:00,Charlotte Hornets,Brooklyn Nets,121,133,+104,-123
30 Oct 2023,19:30,Toronto Raptors,Portland Trail Blazers,91,99,-476,+355
30 Oct 2023,19:30,Atlanta Hawks,Minnesota Timberwolves,127,113,+114,-133
30 Oct 2023,20:00,Oklahoma City Thunder,Detroit Pistons,124,112,-263,+212
30 Oct 2023,20:00,New Orleans Pelicans,Golden State Warriors,102,130,-154,+131
30 Oct 2023,20:00,Milwaukee Bucks,Miami Heat,122,114,-303,+241
30 Oct 2023,20:00,Memphis Grizzlies,Dallas Mavericks,110,125,-115,-102
30 Oct 2023,21:00,Denver Nuggets,Utah Jazz,110,102,-385,+305
30 Oct 2023,22:30,Los Angeles Lakers,Orlando Magic,106,103,-167,+143
31 Oct 2023,19:30,Cleveland Cavaliers,New York Knicks,91,109,+110,-130
31 Oct 2023,22:00,Phoenix Suns,San Antonio Spurs,114,115,-286,+231
31 Oct 2023,22:30,Los Angeles Clippers,Orlando Magic,118,102,-244,+204
01 Nov 2023,19:00,Toronto Raptors,Milwaukee Bucks,130,111,+152,-179
01 Nov 2023,19:00,Detroit Pistons,Portland Trail Blazers,101,110,-156,+135
01 Nov 2023,19:30,Oklahoma City Thunder,New Orleans Pelicans,106,110,-156,+136
01 Nov 2023,19:30,New York Knicks,Cleveland Cavaliers,89,95,-213,+177
01 Nov 2023,19:30,Miami Heat,Brooklyn Nets,105,109,-270,+219
01 Nov 2023,19:30,Boston Celtics,Indiana Pacers,155,104,-769,+529
01 Nov 2023,19:30,Atlanta Hawks,Washington Wizards,130,121,-455,+346
01 Nov 2023,20:00,Minnesota Timberwolves,Denver Nuggets,110,89,+112,-132
01 Nov 2023,20:00,Houston Rockets,Charlotte Hornets,128,119,-147,+125
01 Nov 2023,20:30,Dallas Mavericks,Chicago Bulls,114,105,-161,+137
01 Nov 2023,21:00,Utah Jazz,Memphis Grizzlies,133,109,-130,+110
01 Nov 2023,22:00,Los Angeles Lakers,Los Angeles Clippers,130,125,-152,+129
01 Nov 2023,22:00,Golden State Warriors,Sacramento Kings,102,101,-263,+215
02 Nov 2023,19:00,Philadelphia 76ers,Toronto Raptors,114,99,-303,+241
02 Nov 2023,20:00,New Orleans Pelicans,Detroit Pistons,125,116,-192,+162
02 Nov 2023,21:00,Utah Jazz,Orlando Magic,113,115,+104,-120
02 Nov 2023,22:00,Phoenix Suns,San Antonio Spurs,121,132,-500,+384
03 Nov 2023,19:00,Indiana Pacers,Cleveland Cavaliers,121,116,+114,-132
03 Nov 2023,19:30,Milwaukee Bucks,New York Knicks,110,105,-213,+177
03 Nov 2023,20:00,Oklahoma City Thunder,Golden State Warriors,139,141,+202,-244
03 Nov 2023,20:00,Miami Heat,Washington Wizards,121,114,-400,+313
03 Nov 2023,20:00,Chicago Bulls,Brooklyn Nets,107,109,-169,+146
03 Nov 2023,22:00,Portland Trail Blazers,Memphis Grizzlies,115,113,+141,-161
03 Nov 2023,22:00,Denver Nuggets,Dallas Mavericks,125,114,-233,+192
04 Nov 2023,13:00,Philadelphia 76ers,Phoenix Suns,112,100,-250,+204
04 Nov 2023,19:00,Orlando Magic,Los Angeles Lakers,120,101,+139,-161
04 Nov 2023,19:00,New Orleans Pelicans,Atlanta Hawks,105,123,-128,+110
04 Nov 2023,19:00,Indiana Pacers,Charlotte Hornets,124,125,-196,+167
04 Nov 2023,20:00,Minnesota Timberwolves,Utah Jazz,123,95,-312,+252
04 Nov 2023,20:00,Houston Rockets,Sacramento Kings,107,89,+118,-137
04 Nov 2023,20:00,Brooklyn Nets,Boston Celtics,114,124,+363,-476
04 Nov 2023,21:00,Denver Nuggets,Chicago Bulls,123,101,-417,+323
05 Nov 2023,15:00,Detroit Pistons,Phoenix Suns,106,120,+139,-159
05 Nov 2023,15:30,San Antonio Spurs,Toronto Raptors,116,123,+143,-164
05 Nov 2023,18:00,Cleveland Cavaliers,Golden State Warriors,115,104,-115,-101
05 Nov 2023,19:30,Dallas Mavericks,Charlotte Hornets,124,118,-588,+434
05 Nov 2023,21:00,Portland Trail Blazers,Memphis Grizzlies,100,112,+136,-156
06 Nov 2023,19:00,Philadelphia 76ers,Washington Wizards,146,128,-556,+422
