Date,Time,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
18 Oct 2022,19:30,Boston Celtics,Philadelphia 76ers,126,117,-149,+127
18 Oct 2022,22:00,Golden State Warriors,Los Angeles Lakers,123,109,-312,+247
19 Oct 2022,19:00,Indiana Pacers,Washington Wizards,107,114,+119,-139
19 Oct 2022,19:00,Detroit Pistons,Orlando Magic,113,109,-156,+131
19 Oct 2022,19:30,Toronto Raptors,Cleveland Cavaliers,108,105,-139,+118
19 Oct 2022,19:30,Miami Heat,Chicago Bulls,108,116,-312,+244
19 Oct 2022,19:30,Memphis Grizzlies,New York Knicks,115,112,-196,+162
19 Oct 2022,19:30,Brooklyn Nets,New Orleans Pelicans,108,130,-152,+127
19 Oct 2022,19:30,Atlanta Hawks,Houston Rockets,117,107,-526,+384
19 Oct 2022,20:00,San Antonio Spurs,Charlotte Hornets,102,129,-106,-114
19 Oct 2022,20:00,Minnesota Timberwolves,Oklahoma City Thunder,115,108,-667,+463
19 Oct 2022,21:00,Utah Jazz,Denver Nuggets,123,102,+217,-270
19 Oct 2022,22:00,Sacramento Kings,Portland Trail Blazers,108,115,-156,+131
19 Oct 2022,22:00,Phoenix Suns,Dallas Mavericks,107,105,-179,+150
20 Oct 2022,19:30,Philadelphia 76ers,Milwaukee Bucks,88,90,-179,+150
20 Oct 2022,22:00,Los Angeles Lakers,Los Angeles Clippers,97,103,+166,-200
21 Oct 2022,19:00,Washington Wizards,Chicago Bulls,102,100,-128,+108
21 Oct 2022,19:00,Indiana Pacers,San Antonio Spurs,134,137,-123,+104
21 Oct 2022,19:00,Charlotte Hornets,New Orleans Pelicans,112,124,+221,-270
21 Oct 2022,19:30,New York Knicks,Detroit Pistons,130,106,-294,+236
21 Oct 2022,19:30,Brooklyn Nets,Toronto Raptors,109,105,-147,+123
23 Oct 2022,20:30,Golden State Warriors,Sacramento Kings,130,125,-500,+372
23 Oct 2022,22:00,Los Angeles Clippers,Phoenix Suns,95,112,+102,-122
24 Oct 2022,19:00,Philadelphia 76ers,Indiana Pacers,120,106,-833,+559
24 Oct 2022,19:30,New York Knicks,Orlando Magic,115,102,-312,+245
24 Oct 2022,19:30,Miami Heat,Toronto Raptors,90,98,-167,+141
24 Oct 2022,20:00,Minnesota Timberwolves,San Antonio Spurs,106,115,-370,+288
24 Oct 2022,20:00,Memphis Grizzlies,Brooklyn Nets,134,124,-119,+100
24 Oct 2022,20:00,Houston Rockets,Utah Jazz,114,108,+117,-137
24 Oct 2022,20:00,Chicago Bulls,Boston Celtics,120,102,+177,-217
24 Oct 2022,22:00,Portland Trail Blazers,Denver Nuggets,135,110,+170,-204
25 Oct 2022,19:00,Washington Wizards,Detroit Pistons,120,99,-222,+183
25 Oct 2022,19:30,New Orleans Pelicans,Dallas Mavericks,113,111,+179,-217
25 Oct 2022,20:00,Oklahoma City Thunder,Los Angeles Clippers,108,94,+183,-222
25 Oct 2022,22:00,Phoenix Suns,Golden State Warriors,134,105,-125,+104
26 Oct 2022,19:00,Detroit Pistons,Atlanta Hawks,113,118,+250,-312
26 Oct 2022,19:00,Cleveland Cavaliers,Orlando Magic,103,92,-400,+309
