Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Brooklyn Nets,Toronto Raptors,131,129,-164,+141
N/A,Portland Trail Blazers,Phoenix Suns,107,111,-101,-115
N/A,Philadelphia 76ers,Miami Heat,96,101,-323,+263
N/A,Orlando Magic,Atlanta Hawks,99,111,+258,-312
N/A,Cleveland Cavaliers,Houston Rockets,124,89,-435,+349
N/A,Dallas Mavericks,Los Angeles Lakers,104,107,+127,-147
N/A,Oklahoma City Thunder,New Orleans Pelicans,110,113,+160,-185
N/A,Milwaukee Bucks,Indiana Pacers,114,99,+129,-149
N/A,San Antonio Spurs,Charlotte Hornets,115,131,-154,+133
N/A,Denver Nuggets,Minnesota Timberwolves,107,124,-179,+154
N/A,Sacramento Kings,Washington Wizards,119,105,+108,-127
N/A,Utah Jazz,Los Angeles Clippers,124,103,-714,+525
N/A,Portland Trail Blazers,Memphis Grizzlies,103,113,+106,-123
N/A,Indiana Pacers,Detroit Pistons,122,113,-526,+398
N/A,Brooklyn Nets,Philadelphia 76ers,114,105,+117,-135
N/A,Houston Rockets,New York Knicks,103,116,+184,-217
N/A,Phoenix Suns,Washington Wizards,118,98,-400,+326
N/A,Orlando Magic,Miami Heat,105,115,+323,-400
N/A,Boston Celtics,Golden State Warriors,107,111,+154,-182
N/A,Atlanta Hawks,Denver Nuggets,115,133,-159,+137
N/A,New Orleans Pelicans,Milwaukee Bucks,116,112,-119,+102
N/A,Utah Jazz,San Antonio Spurs,126,128,-714,+521
N/A,Sacramento Kings,Memphis Grizzlies,105,124,+219,-263
N/A,Portland Trail Blazers,Charlotte Hornets,125,116,-125,+106
N/A,Minnesota Timberwolves,Los Angeles Lakers,110,92,-103,-114
N/A,Detroit Pistons,Houston Rockets,107,116,-106,-110
N/A,Boston Celtics,New York Knicks,114,107,-227,+190
N/A,Toronto Raptors,Golden State Warriors,119,100,-345,+283
N/A,Brooklyn Nets,Orlando Magic,93,100,-213,+175
N/A,Oklahoma City Thunder,Los Angeles Clippers,104,103,+159,-185
N/A,Utah Jazz,Washington Wizards,103,109,-455,+358
N/A,Milwaukee Bucks,Cleveland Cavaliers,90,119,+168,-196
N/A,Sacramento Kings,San Antonio Spurs,121,114,+166,-192
N/A,Memphis Grizzlies,Portland Trail Blazers,100,105,-179,+154
N/A,Detroit Pistons,Miami Heat,100,90,+235,-286
N/A,Phoenix Suns,Charlotte Hornets,137,106,-385,+308
N/A,Minnesota Timberwolves,Dallas Mavericks,111,105,-164,+140
N/A,Chicago Bulls,Los Angeles Lakers,115,110,-294,+240
N/A,Boston Celtics,Philadelphia 76ers,103,108,-164,+141
N/A,Memphis Grizzlies,Oklahoma City Thunder,99,102,-417,+323
N/A,Chicago Bulls,Houston Rockets,133,118,-303,+247
N/A,Utah Jazz,Charlotte Hornets,112,102,-909,+621
N/A,Golden State Warriors,Sacramento Kings,113,98,-1000,+644
N/A,Los Angeles Clippers,San Antonio Spurs,92,116,-250,+204
N/A,New York Knicks,Detroit Pistons,105,91,-312,+250
N/A,Miami Heat,Indiana Pacers,125,96,+114,-133
N/A,New Orleans Pelicans,Portland Trail Blazers,111,97,-125,+108
N/A,Dallas Mavericks,Minnesota Timberwolves,114,102,+112,-133
N/A,Los Angeles Lakers,Phoenix Suns,90,108,+240,-294
N/A,Boston Celtics,Cleveland Cavaliers,111,101,-256,+211
N/A,Atlanta Hawks,Orlando Magic,98,104,-303,+249
N/A,Oklahoma City Thunder,Denver Nuggets,108,94,+221,-270
N/A,Milwaukee Bucks,Houston Rockets,126,106,-417,+326
N/A,Sacramento Kings,Los Angeles Clippers,89,105,+154,-179
N/A,Philadelphia 76ers,Atlanta Hawks,96,98,-667,+476
N/A,Orlando Magic,New Orleans Pelicans,104,110,+166,-192
N/A,Indiana Pacers,Houston Rockets,118,106,-263,+217
N/A,New York Knicks,Washington Wizards,117,124,-141,+121
N/A,Miami Heat,Detroit Pistons,115,112,-833,+570
N/A,Dallas Mavericks,Milwaukee Bucks,95,102,+145,-169
N/A,Utah Jazz,Minnesota Timberwolves,128,116,-1429,+843
N/A,Phoenix Suns,Oklahoma City Thunder,113,101,-1429,+871
N/A,Denver Nuggets,Charlotte Hornets,107,115,-135,+114
N/A,Golden State Warriors,Memphis Grizzlies,113,104,-217,+181
N/A,Los Angeles Lakers,San Antonio Spurs,110,138,-120,+102
N/A,New York Knicks,Atlanta Hawks,101,87,-244,+202
N/A,Milwaukee Bucks,Boston Celtics,117,113,-312,+257
N/A,Phoenix Suns,Golden State Warriors,107,116,-244,+202
N/A,Los Angeles Lakers,Brooklyn Nets,115,122,-141,+120
N/A,Utah Jazz,Dallas Mavericks,120,116,-1000,+673
N/A,Miami Heat,Orlando Magic,93,83,-588,+433
N/A,Washington Wizards,Philadelphia 76ers,96,117,+146,-169
N/A,Sacramento Kings,Memphis Grizzlies,102,127,+123,-145
N/A,Cleveland Cavaliers,Toronto Raptors,144,99,-385,+309
N/A,San Antonio Spurs,Detroit Pistons,144,109,-500,+388
N/A,Oklahoma City Thunder,New Orleans Pelicans,117,112,+106,-123
N/A,Chicago Bulls,Indiana Pacers,113,105,-179,+152
N/A,Los Angeles Clippers,Denver Nuggets,100,103,+137,-159
N/A,Charlotte Hornets,Houston Rockets,123,99,-345,+275
N/A,Atlanta Hawks,Chicago Bulls,118,130,+138,-161
N/A,Minnesota Timberwolves,Boston Celtics,108,103,+171,-204
N/A,San Antonio Spurs,Utah Jazz,104,110,+227,-278
N/A,Phoenix Suns,Memphis Grizzlies,113,114,-333,+267
N/A,Portland Trail Blazers,Dallas Mavericks,117,132,-145,+125
N/A,Los Angeles Clippers,Brooklyn Nets,108,124,+141,-167
N/A,Orlando Magic,Milwaukee Bucks,110,127,+830,-1429
N/A,Toronto Raptors,Philadelphia 76ers,109,114,+200,-244
N/A,Miami Heat,Washington Wizards,119,112,-323,+263
N/A,New Orleans Pelicans,Cleveland Cavaliers,108,104,+165,-196
N/A,Minnesota Timberwolves,New York Knicks,88,96,+169,-200
N/A,Houston Rockets,Los Angeles Lakers,123,132,+190,-227
N/A,Sacramento Kings,Oklahoma City Thunder,117,111,-222,+187
N/A,Golden State Warriors,Denver Nuggets,86,89,-357,+285
N/A,Indiana Pacers,Charlotte Hornets,108,116,-164,+139
N/A,Detroit Pistons,New York Knicks,85,94,+297,-370
N/A,Boston Celtics,Los Angeles Clippers,82,91,-233,+194
N/A,Memphis Grizzlies,Los Angeles Lakers,104,99,-227,+189
N/A,Chicago Bulls,Atlanta Hawks,131,117,-357,+281
N/A,Phoenix Suns,Oklahoma City Thunder,115,97,-2000,+1003
N/A,Portland Trail Blazers,Utah Jazz,105,120,+266,-333
N/A,Sacramento Kings,Dallas Mavericks,95,94,-106,-111
N/A,Washington Wizards,Cleveland Cavaliers,110,93,-175,+149
N/A,Orlando Magic,Milwaukee Bucks,118,136,+785,-1250
N/A,Brooklyn Nets,Philadelphia 76ers,102,110,-204,+171
N/A,Boston Celtics,Phoenix Suns,123,108,+137,-161
N/A,Indiana Pacers,Chicago Bulls,106,108,+137,-159
N/A,Sacramento Kings,Dallas Mavericks,96,112,-104,-112
N/A,Houston Rockets,Miami Heat,110,120,+174,-204
N/A,Toronto Raptors,Los Angeles Clippers,116,108,-263,+219
N/A,Cleveland Cavaliers,Atlanta Hawks,118,121,-125,+106
N/A,Oklahoma City Thunder,New York Knicks,95,80,+125,-145
N/A,Memphis Grizzlies,San Antonio Spurs,118,105,-217,+184
N/A,Utah Jazz,Minnesota Timberwolves,120,108,-833,+600
N/A,Los Angeles Lakers,Portland Trail Blazers,139,106,-244,+200
N/A,Milwaukee Bucks,New Orleans Pelicans,136,113,-909,+607
N/A,Washington Wizards,Chicago Bulls,119,120,+110,-130
N/A,Detroit Pistons,San Antonio Spurs,117,116,+216,-263
N/A,Brooklyn Nets,Los Angeles Clippers,116,120,-1111,+761
N/A,Houston Rockets,Denver Nuggets,111,124,+254,-312
N/A,Utah Jazz,Golden State Warriors,116,123,-196,+166
N/A,Toronto Raptors,New York Knicks,120,105,-370,+294
N/A,Sacramento Kings,Miami Heat,115,113,+138,-161
N/A,Cleveland Cavaliers,Indiana Pacers,108,104,-179,+152
N/A,Boston Celtics,Orlando Magic,116,111,-556,+412
N/A,Oklahoma City Thunder,Dallas Mavericks,86,95,+411,-526
N/A,Charlotte Hornets,Phoenix Suns,99,133,+110,-128
N/A,Los Angeles Lakers,Minnesota Timberwolves,108,103,-323,+260
N/A,Washington Wizards,Charlotte Hornets,124,121,-127,+108
N/A,Philadelphia 76ers,Houston Rockets,133,113,-1000,+656
N/A,Brooklyn Nets,Memphis Grizzlies,104,118,-250,+206
N/A,New Orleans Pelicans,Utah Jazz,104,115,+328,-417
N/A,Milwaukee Bucks,Detroit Pistons,106,115,-2000,+1051
N/A,Chicago Bulls,Orlando Magic,102,98,-1111,+719
N/A,Dallas Mavericks,Denver Nuggets,103,89,-147,+125
N/A,Portland Trail Blazers,Atlanta Hawks,136,131,+150,-175
N/A,Golden State Warriors,Miami Heat,115,108,-556,+412
N/A,Los Angeles Clippers,Minnesota Timberwolves,104,122,-159,+136
N/A,Toronto Raptors,San Antonio Spurs,129,104,-278,+227
N/A,Cleveland Cavaliers,Memphis Grizzlies,106,110,-152,+129
N/A,New York Knicks,Indiana Pacers,104,94,-159,+136
N/A,New Orleans Pelicans,Phoenix Suns,110,123,+225,-270
N/A,Los Angeles Lakers,Sacramento Kings,122,114,-244,+202
N/A,Washington Wizards,Houston Rockets,111,114,-312,+254
N/A,Orlando Magic,Philadelphia 76ers,106,116,+308,-385
N/A,Charlotte Hornets,Detroit Pistons,140,111,-556,+418
N/A,Indiana Pacers,Brooklyn Nets,121,129,+305,-385
N/A,Dallas Mavericks,Golden State Warriors,99,82,+156,-182
N/A,Boston Celtics,San Antonio Spurs,97,99,-323,+263
N/A,Minnesota Timberwolves,Oklahoma City Thunder,98,90,-417,+330
N/A,Milwaukee Bucks,Toronto Raptors,111,117,-133,+112
N/A,Sacramento Kings,Atlanta Hawks,102,108,-116,-102
N/A,Portland Trail Blazers,Miami Heat,109,115,+116,-135
N/A,Denver Nuggets,Utah Jazz,109,115,-111,-106
N/A,New York Knicks,Boston Celtics,108,105,+114,-133
N/A,New Orleans Pelicans,Golden State Warriors,101,96,-119,+100
N/A,Memphis Grizzlies,Detroit Pistons,118,88,-1111,+711
N/A,Phoenix Suns,Los Angeles Clippers,106,89,-588,+451
N/A,Philadelphia 76ers,San Antonio Spurs,119,100,-370,+294
N/A,Toronto Raptors,Utah Jazz,122,108,-1000,+687
N/A,Brooklyn Nets,Milwaukee Bucks,109,121,-185,+160
N/A,Chicago Bulls,Washington Wizards,130,122,-222,+186
N/A,Oklahoma City Thunder,Minnesota Timberwolves,105,135,+167,-196
N/A,Houston Rockets,Dallas Mavericks,106,130,+129,-149
N/A,Denver Nuggets,Sacramento Kings,121,111,-333,+265
N/A,Portland Trail Blazers,Cleveland Cavaliers,101,114,+194,-233
N/A,Los Angeles Lakers,Atlanta Hawks,134,118,-120,+102
N/A,Los Angeles Clippers,Memphis Grizzlies,108,123,+110,-128
N/A,Indiana Pacers,Utah Jazz,125,113,+165,-192
N/A,Detroit Pistons,Orlando Magic,97,92,-118,+100
N/A,Charlotte Hornets,Milwaukee Bucks,114,106,-119,+102
N/A,Boston Celtics,New York Knicks,99,75,-323,+261
N/A,Phoenix Suns,Miami Heat,100,123,-455,+362
N/A,Brooklyn Nets,San Antonio Spurs,121,119,-500,+382
N/A,Los Angeles Clippers,Atlanta Hawks,106,93,+150,-175
N/A,Toronto Raptors,New Orleans Pelicans,105,101,-303,+245
N/A,Orlando Magic,Washington Wizards,100,102,+242,-294
N/A,Oklahoma City Thunder,Denver Nuggets,95,99,+225,-270
N/A,Houston Rockets,Minnesota Timberwolves,123,141,+221,-270
N/A,Dallas Mavericks,Chicago Bulls,113,99,-128,+110
N/A,Golden State Warriors,Cleveland Cavaliers,96,82,-345,+278
N/A,Portland Trail Blazers,Sacramento Kings,103,88,+106,-125
N/A,Los Angeles Lakers,Memphis Grizzlies,119,127,-156,+131
N/A,Detroit Pistons,Utah Jazz,126,116,+482,-667
N/A,Charlotte Hornets,Milwaukee Bucks,103,99,+119,-139
N/A,New York Knicks,San Antonio Spurs,111,96,-250,+206
N/A,Boston Celtics,Indiana Pacers,101,98,-385,+308
N/A,Houston Rockets,Philadelphia 76ers,91,111,+384,-500
N/A,Sacramento Kings,Cleveland Cavaliers,108,109,+172,-204
N/A,Portland Trail Blazers,Brooklyn Nets,114,108,+288,-357
N/A,Washington Wizards,Oklahoma City Thunder,122,118,-294,+238
N/A,Toronto Raptors,Phoenix Suns,95,99,+159,-185
N/A,New Orleans Pelicans,Minnesota Timberwolves,128,125,+134,-154
N/A,Memphis Grizzlies,Golden State Warriors,116,108,+114,-133
N/A,Chicago Bulls,Detroit Pistons,133,87,-1250,+783
N/A,Los Angeles Clippers,Denver Nuggets,87,85,+119,-139
N/A,Washington Wizards,Orlando Magic,112,106,-250,+209
N/A,Philadelphia 76ers,Charlotte Hornets,98,109,-208,+175
N/A,Indiana Pacers,Boston Celtics,100,119,-114,-103
N/A,New York Knicks,Dallas Mavericks,108,85,+121,-141
N/A,Atlanta Hawks,Miami Heat,91,115,-139,+120
N/A,San Antonio Spurs,Houston Rockets,124,128,-303,+246
N/A,Utah Jazz,Cleveland Cavaliers,91,111,-196,+168
N/A,Sacramento Kings,Los Angeles Lakers,125,116,+144,-169
N/A,Chicago Bulls,Brooklyn Nets,112,138,+104,-122
N/A,Milwaukee Bucks,Golden State Warriors,118,99,-111,-104
N/A,New Orleans Pelicans,Los Angeles Clippers,113,89,-167,+141
N/A,Memphis Grizzlies,Minnesota Timberwolves,116,108,-152,+129
N/A,Brooklyn Nets,Oklahoma City Thunder,109,130,-227,+191
N/A,Denver Nuggets,Portland Trail Blazers,140,108,-625,+459
N/A,Philadelphia 76ers,Boston Celtics,111,99,-154,+131
N/A,Detroit Pistons,Toronto Raptors,103,87,+330,-417
N/A,Indiana Pacers,Phoenix Suns,94,112,+197,-238
N/A,Charlotte Hornets,Orlando Magic,109,116,-667,+480
N/A,Chicago Bulls,Golden State Warriors,96,138,-139,+119
N/A,Miami Heat,Atlanta Hawks,124,118,-204,+174
N/A,San Antonio Spurs,Cleveland Cavaliers,109,114,+129,-152
N/A,Sacramento Kings,Houston Rockets,126,114,-204,+173
N/A,Memphis Grizzlies,Dallas Mavericks,85,112,-137,+118
N/A,Milwaukee Bucks,Toronto Raptors,96,103,-312,+252
N/A,Washington Wizards,Portland Trail Blazers,110,115,-294,+241
N/A,Brooklyn Nets,New Orleans Pelicans,120,105,-222,+188
N/A,Atlanta Hawks,New York Knicks,108,117,-120,+102
N/A,Oklahoma City Thunder,Cleveland Cavaliers,102,107,+171,-200
N/A,Miami Heat,Philadelphia 76ers,98,109,-156,+133
N/A,San Antonio Spurs,Los Angeles Clippers,101,94,-120,+102
N/A,Boston Celtics,Chicago Bulls,114,112,-303,+246
N/A,Denver Nuggets,Los Angeles Lakers,133,96,-179,+150
N/A,Dallas Mavericks,Orlando Magic,108,92,-667,+488
N/A,Detroit Pistons,Phoenix Suns,108,135,+556,-769
N/A,Sacramento Kings,Houston Rockets,112,118,-189,+161
N/A,Minnesota Timberwolves,Golden State Warriors,119,99,-182,+156
N/A,Denver Nuggets,Utah Jazz,102,125,+175,-208
N/A,Boston Celtics,New Orleans Pelicans,104,92,-175,+150
N/A,New York Knicks,Charlotte Hornets,87,97,-135,+116
N/A,Washington Wizards,Philadelphia 76ers,117,98,+110,-130
N/A,Cleveland Cavaliers,Brooklyn Nets,114,107,-175,+150
N/A,Memphis Grizzlies,Chicago Bulls,119,106,-370,+300
N/A,Los Angeles Clippers,Indiana Pacers,139,133,-137,+117
N/A,Atlanta Hawks,Milwaukee Bucks,121,114,+166,-196
N/A,Orlando Magic,Portland Trail Blazers,88,98,+110,-130
N/A,Miami Heat,Toronto Raptors,104,99,-175,+150
N/A,San Antonio Spurs,Phoenix Suns,107,121,+147,-172
N/A,Dallas Mavericks,Oklahoma City Thunder,104,102,-714,+509
N/A,Los Angeles Lakers,Utah Jazz,101,95,+177,-213
N/A,New York Knicks,Minnesota Timberwolves,110,112,+135,-159
N/A,Golden State Warriors,Detroit Pistons,102,86,-1667,+911
N/A,Washington Wizards,Brooklyn Nets,118,119,-111,-106
N/A,Philadelphia 76ers,Orlando Magic,123,110,-769,+536
N/A,Miami Heat,Portland Trail Blazers,104,92,-417,+332
N/A,Boston Celtics,Charlotte Hornets,102,111,-147,+124
N/A,Atlanta Hawks,Minnesota Timberwolves,134,122,-119,+100
N/A,Milwaukee Bucks,Memphis Grizzlies,126,114,-256,+212
N/A,Chicago Bulls,Cleveland Cavaliers,117,104,+131,-156
N/A,San Antonio Spurs,Oklahoma City Thunder,118,96,-270,+225
N/A,Dallas Mavericks,Toronto Raptors,102,98,-189,+156
N/A,Utah Jazz,Houston Rockets,111,116,-1111,+708
N/A,Sacramento Kings,Detroit Pistons,131,133,-286,+237
N/A,Denver Nuggets,Los Angeles Clippers,130,128,-435,+334
N/A,Los Angeles Lakers,Indiana Pacers,104,111,-161,+137
N/A,New York Knicks,New Orleans Pelicans,91,102,-164,+138
N/A,Dallas Mavericks,Phoenix Suns,101,109,+112,-133
N/A,Golden State Warriors,Indiana Pacers,117,121,-1429,+860
N/A,Philadelphia 76ers,Los Angeles Clippers,101,102,-312,+252
N/A,Orlando Magic,Los Angeles Lakers,105,116,+166,-196
N/A,Charlotte Hornets,Oklahoma City Thunder,121,98,-385,+313
N/A,Boston Celtics,Portland Trail Blazers,105,109,-333,+271
N/A,Atlanta Hawks,Miami Heat,110,108,-120,+104
N/A,Washington Wizards,Toronto Raptors,105,109,+114,-135
N/A,Milwaukee Bucks,Chicago Bulls,94,90,-556,+416
N/A,San Antonio Spurs,Brooklyn Nets,102,117,-105,-112
N/A,Utah Jazz,Detroit Pistons,111,101,-1250,+764
N/A,Denver Nuggets,Memphis Grizzlies,118,122,-161,+138
N/A,Golden State Warriors,Houston Rockets,105,103,-667,+484
N/A,Milwaukee Bucks,Sacramento Kings,133,127,-303,+246
N/A,Cleveland Cavaliers,Oklahoma City Thunder,94,87,-769,+567
N/A,Phoenix Suns,Indiana Pacers,113,103,-1000,+667
N/A,New York Knicks,Los Angeles Clippers,110,102,-179,+152
N/A,Washington Wizards,Boston Celtics,87,116,+116,-137
N/A,Toronto Raptors,Portland Trail Blazers,105,114,-323,+267
N/A,Orlando Magic,Chicago Bulls,114,95,+140,-164
N/A,Miami Heat,Los Angeles Lakers,113,107,-164,+142
N/A,San Antonio Spurs,Philadelphia 76ers,109,115,-103,-114
N/A,Charlotte Hornets,Atlanta Hawks,91,113,-123,+104
N/A,Dallas Mavericks,Memphis Grizzlies,104,91,-169,+146
N/A,Minnesota Timberwolves,Brooklyn Nets,136,125,-145,+124
N/A,Denver Nuggets,Detroit Pistons,117,111,-769,+558
N/A,Golden State Warriors,Utah Jazz,94,92,-128,+108
N/A,Cleveland Cavaliers,New York Knicks,95,93,-196,+166
N/A,Oklahoma City Thunder,Chicago Bulls,110,111,-103,-115
N/A,New Orleans Pelicans,Indiana Pacers,117,113,-167,+143
N/A,Phoenix Suns,Utah Jazz,115,109,-769,+528
N/A,Washington Wizards,Los Angeles Clippers,115,116,-196,+167
N/A,Toronto Raptors,Charlotte Hornets,125,113,-101,-118
N/A,Philadelphia 76ers,New Orleans Pelicans,117,107,-625,+469
N/A,Detroit Pistons,Denver Nuggets,105,110,+227,-278
N/A,Brooklyn Nets,Los Angeles Lakers,96,106,+138,-161
N/A,Boston Celtics,Sacramento Kings,128,75,-435,+343
N/A,Houston Rockets,San Antonio Spurs,104,134,+167,-196
N/A,Portland Trail Blazers,Minnesota Timberwolves,107,109,+127,-149
N/A,Golden State Warriors,Dallas Mavericks,130,92,-164,+140
N/A,Orlando Magic,Los Angeles Clippers,102,111,-116,-101
N/A,Indiana Pacers,Charlotte Hornets,126,158,+112,-132
N/A,Cleveland Cavaliers,Milwaukee Bucks,115,99,+146,-172
N/A,Miami Heat,New York Knicks,110,96,-238,+198
N/A,Atlanta Hawks,Sacramento Kings,121,104,-588,+438
N/A,Chicago Bulls,Toronto Raptors,111,105,-179,+152
N/A,Brooklyn Nets,Denver Nuggets,118,124,+177,-208
N/A,San Antonio Spurs,Memphis Grizzlies,110,118,+146,-172
N/A,Utah Jazz,Phoenix Suns,97,105,-106,-111
N/A,Portland Trail Blazers,Dallas Mavericks,112,132,+166,-196
N/A,Philadelphia 76ers,Los Angeles Lakers,105,87,-238,+200
N/A,Golden State Warriors,Minnesota Timberwolves,124,115,-250,+209
N/A,Orlando Magic,Detroit Pistons,119,103,-156,+134
N/A,Charlotte Hornets,Los Angeles Lakers,117,114,-435,+338
N/A,Atlanta Hawks,Boston Celtics,108,92,-123,+106
N/A,Oklahoma City Thunder,Indiana Pacers,110,113,+108,-127
N/A,New Orleans Pelicans,Denver Nuggets,105,116,+150,-172
N/A,Miami Heat,Los Angeles Clippers,121,114,-357,+295
N/A,Memphis Grizzlies,Utah Jazz,119,109,-192,+163
N/A,Houston Rockets,Portland Trail Blazers,110,125,+122,-143
N/A,San Antonio Spurs,Chicago Bulls,131,122,-125,+106
N/A,Phoenix Suns,Minnesota Timberwolves,134,124,-357,+285
N/A,Milwaukee Bucks,New York Knicks,123,108,-400,+323
N/A,New Orleans Pelicans,Boston Celtics,97,107,+222,-263
N/A,Dallas Mavericks,Indiana Pacers,132,105,-526,+404
N/A,Philadelphia 76ers,Sacramento Kings,103,101,-588,+445
N/A,Miami Heat,Toronto Raptors,120,124,-139,+119
N/A,Memphis Grizzlies,Washington Wizards,115,95,-227,+192
N/A,Golden State Warriors,Brooklyn Nets,110,106,-500,+388
N/A,Charlotte Hornets,Los Angeles Clippers,90,115,-233,+196
N/A,Atlanta Hawks,Los Angeles Lakers,129,121,-294,+240
N/A,Chicago Bulls,Portland Trail Blazers,130,116,-196,+169
N/A,Detroit Pistons,Cleveland Cavaliers,115,105,+270,-333
N/A,Orlando Magic,Dallas Mavericks,110,108,+168,-200
N/A,Milwaukee Bucks,Denver Nuggets,100,136,-244,+200
N/A,Phoenix Suns,San Antonio Spurs,115,110,-1000,+672
N/A,Minnesota Timberwolves,Utah Jazz,126,106,-125,+106
N/A,Philadelphia 76ers,Memphis Grizzlies,122,119,+140,-164
N/A,Indiana Pacers,Los Angeles Clippers,122,116,-106,-110
N/A,Cleveland Cavaliers,New Orleans Pelicans,93,90,-196,+171
N/A,New York Knicks,Sacramento Kings,116,96,-278,+227
N/A,Boston Celtics,Miami Heat,122,92,-250,+206
N/A,Atlanta Hawks,Toronto Raptors,100,106,+110,-128
N/A,Oklahoma City Thunder,Portland Trail Blazers,98,81,+139,-161
N/A,Houston Rockets,Golden State Warriors,108,122,+384,-500
N/A,Detroit Pistons,New Orleans Pelicans,101,111,+106,-123
N/A,Toronto Raptors,Miami Heat,110,106,-125,+106
N/A,Milwaukee Bucks,Washington Wizards,112,98,-714,+505
N/A,Minnesota Timberwolves,Denver Nuggets,130,115,-120,-101
N/A,Chicago Bulls,Orlando Magic,126,115,-345,+284
N/A,San Antonio Spurs,Golden State Warriors,120,124,-263,+216
N/A,Phoenix Suns,Brooklyn Nets,121,111,-270,+225
N/A,Philadelphia 76ers,Washington Wizards,103,106,-500,+387
N/A,Indiana Pacers,Orlando Magic,118,119,-161,+138
N/A,New York Knicks,Memphis Grizzlies,108,120,+147,-172
N/A,Boston Celtics,Charlotte Hornets,113,107,-244,+204
N/A,Houston Rockets,Cleveland Cavaliers,115,104,+170,-200
N/A,Dallas Mavericks,Oklahoma City Thunder,114,120,-833,+583
N/A,Utah Jazz,Denver Nuggets,108,104,-250,+204
N/A,Sacramento Kings,Brooklyn Nets,112,101,+169,-200
N/A,Los Angeles Lakers,Portland Trail Blazers,99,94,-172,+146
N/A,San Antonio Spurs,Miami Heat,95,112,+265,-323
N/A,Detroit Pistons,Minnesota Timberwolves,117,128,+250,-303
N/A,Toronto Raptors,Chicago Bulls,127,120,-189,+162
N/A,Atlanta Hawks,Phoenix Suns,124,115,+129,-152
N/A,Los Angeles Clippers,Los Angeles Lakers,111,110,-159,+136
N/A,Golden State Warriors,Sacramento Kings,126,114,-1111,+728
N/A,Indiana Pacers,Chicago Bulls,115,122,-102,-115
N/A,Detroit Pistons,Boston Celtics,93,102,+370,-476
N/A,Charlotte Hornets,Cleveland Cavaliers,101,102,-244,+202
N/A,Toronto Raptors,Atlanta Hawks,125,114,-132,+112
N/A,San Antonio Spurs,Houston Rockets,131,106,-294,+242
N/A,Utah Jazz,Brooklyn Nets,125,102,-217,+183
N/A,Denver Nuggets,New Orleans Pelicans,105,113,-213,+179
N/A,Portland Trail Blazers,Oklahoma City Thunder,93,96,-244,+200
N/A,Dallas Mavericks,Philadelphia 76ers,107,98,-103,-115
N/A,Orlando Magic,Memphis Grizzlies,115,135,+296,-370
N/A,Washington Wizards,Phoenix Suns,80,95,+279,-345
N/A,Charlotte Hornets,Miami Heat,86,104,+125,-147
N/A,Los Angeles Lakers,New York Knicks,122,115,-204,+172
N/A,Sacramento Kings,Oklahoma City Thunder,113,103,-323,+262
N/A,Portland Trail Blazers,Milwaukee Bucks,108,137,+413,-526
N/A,Minnesota Timberwolves,Detroit Pistons,118,105,-909,+601
N/A,Denver Nuggets,Brooklyn Nets,124,104,-357,+283
N/A,Chicago Bulls,Philadelphia 76ers,108,119,+144,-167
N/A,Orlando Magic,Boston Celtics,83,116,+363,-455
N/A,Dallas Mavericks,Atlanta Hawks,103,94,-108,-109
N/A,Cleveland Cavaliers,Indiana Pacers,98,85,-270,+220
N/A,Houston Rockets,New Orleans Pelicans,107,120,+209,-250
N/A,Los Angeles Clippers,Milwaukee Bucks,113,137,+165,-196
N/A,Washington Wizards,Miami Heat,100,121,+234,-286
N/A,Charlotte Hornets,Toronto Raptors,101,116,-104,-114
N/A,Oklahoma City Thunder,Golden State Warriors,98,110,+589,-833
N/A,Chicago Bulls,Phoenix Suns,124,127,+220,-270
N/A,Utah Jazz,New York Knicks,113,104,-286,+234
N/A,Philadelphia 76ers,Phoenix Suns,109,114,-116,-102
N/A,Brooklyn Nets,Boston Celtics,91,126,+351,-455
N/A,Atlanta Hawks,Indiana Pacers,133,112,-909,+634
N/A,New Orleans Pelicans,Houston Rockets,110,97,-385,+313
N/A,Memphis Grizzlies,Los Angeles Clippers,135,109,-333,+272
N/A,Dallas Mavericks,Detroit Pistons,116,86,-625,+449
N/A,Denver Nuggets,New York Knicks,132,115,-400,+317
N/A,Sacramento Kings,Minnesota Timberwolves,114,134,+240,-294
N/A,Portland Trail Blazers,Orlando Magic,95,113,-102,-114
N/A,Los Angeles Lakers,Milwaukee Bucks,116,131,+144,-167
N/A,Cleveland Cavaliers,San Antonio Spurs,105,92,-250,+206
N/A,Charlotte Hornets,Chicago Bulls,109,121,+108,-127
N/A,Oklahoma City Thunder,Toronto Raptors,98,117,+426,-556
N/A,Utah Jazz,Golden State Warriors,111,85,-114,-104
N/A,Sacramento Kings,Minnesota Timberwolves,132,119,+260,-323
N/A,Portland Trail Blazers,Los Angeles Lakers,107,105,+357,-455
N/A,Detroit Pistons,Memphis Grizzlies,107,132,+517,-714
N/A,Washington Wizards,Brooklyn Nets,113,112,-112,-104
N/A,New Orleans Pelicans,Miami Heat,97,112,+144,-169
N/A,Houston Rockets,Toronto Raptors,120,139,+244,-294
N/A,Dallas Mavericks,Los Angeles Clippers,112,105,-250,+208
N/A,Phoenix Suns,Milwaukee Bucks,131,107,-149,+127
N/A,Golden State Warriors,New York Knicks,114,116,-435,+337
N/A,Philadelphia 76ers,Oklahoma City Thunder,100,87,-1111,+691
