Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Indiana Pacers,San Antonio Spurs,131,118,-145,+125
N/A,Charlotte Hornets,Cleveland Cavaliers,110,113,-200,+171
N/A,New York Knicks,Toronto Raptors,104,113,-286,+241
N/A,Boston Celtics,Chicago Bulls,114,128,-145,+125
N/A,Atlanta Hawks,Washington Wizards,118,111,-200,+174
N/A,Minnesota Timberwolves,Orlando Magic,97,115,-400,+322
N/A,Memphis Grizzlies,Denver Nuggets,106,97,-125,+108
N/A,Los Angeles Clippers,Oklahoma City Thunder,99,94,-833,+586
N/A,Detroit Pistons,Milwaukee Bucks,89,117,+159,-185
N/A,Dallas Mavericks,Miami Heat,110,125,+122,-143
N/A,Utah Jazz,Sacramento Kings,119,113,-435,+345
N/A,Phoenix Suns,New Orleans Pelicans,112,100,-526,+401
N/A,Los Angeles Lakers,Houston Rockets,119,117,-667,+497
N/A,Washington Wizards,Toronto Raptors,100,109,-161,+140
N/A,Philadelphia 76ers,Chicago Bulls,103,98,-137,+118
N/A,Orlando Magic,Boston Celtics,79,92,+234,-278
N/A,Indiana Pacers,New York Knicks,111,98,-106,-109
N/A,Cleveland Cavaliers,Portland Trail Blazers,107,104,+184,-217
N/A,Brooklyn Nets,Atlanta Hawks,117,108,-182,+158
N/A,Minnesota Timberwolves,Los Angeles Clippers,115,126,+118,-137
N/A,Memphis Grizzlies,Denver Nuggets,108,106,-101,-115
N/A,San Antonio Spurs,Dallas Mavericks,108,109,+110,-127
N/A,Sacramento Kings,New Orleans Pelicans,112,99,-222,+187
N/A,Golden State Warriors,Charlotte Hornets,114,92,-244,+204
N/A,Detroit Pistons,Philadelphia 76ers,98,109,+165,-192
N/A,Miami Heat,Boston Celtics,78,95,-256,+215
N/A,Atlanta Hawks,Utah Jazz,98,116,-101,-115
N/A,Phoenix Suns,Houston Rockets,123,111,-667,+504
N/A,Los Angeles Lakers,Oklahoma City Thunder,104,107,-588,+440
N/A,Washington Wizards,Memphis Grizzlies,115,87,-133,+114
N/A,Orlando Magic,San Antonio Spurs,89,102,+142,-164
N/A,Detroit Pistons,Brooklyn Nets,90,96,+384,-500
N/A,Toronto Raptors,Cleveland Cavaliers,101,102,-227,+193
N/A,Milwaukee Bucks,New York Knicks,98,113,-161,+139
N/A,Minnesota Timberwolves,Los Angeles Clippers,84,104,+121,-141
N/A,Sacramento Kings,Charlotte Hornets,140,110,-128,+110
N/A,Portland Trail Blazers,Indiana Pacers,110,106,-222,+188
N/A,Golden State Warriors,New Orleans Pelicans,126,85,-455,+361
N/A,Denver Nuggets,Houston Rockets,95,94,-625,+475
N/A,Miami Heat,Utah Jazz,118,115,-106,-110
