Date,Time,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
22 Oct 2019,20:00,Toronto Raptors,New Orleans Pelicans,130,122,-278,+229
22 Oct 2019,22:30,Los Angeles Clippers,Los Angeles Lakers,112,102,+140,-164
23 Oct 2019,19:00,Orlando Magic,Cleveland Cavaliers,94,85,-526,+393
23 Oct 2019,19:00,Indiana Pacers,Detroit Pistons,110,119,-303,+248
23 Oct 2019,19:00,Charlotte Hornets,Chicago Bulls,126,125,+140,-164
23 Oct 2019,19:30,Philadelphia 76ers,Boston Celtics,107,93,-244,+200
23 Oct 2019,19:30,Miami Heat,Memphis Grizzlies,120,101,-286,+231
23 Oct 2019,19:30,Brooklyn Nets,Minnesota Timberwolves,126,127,-159,+133
23 Oct 2019,20:30,San Antonio Spurs,New York Knicks,120,111,-625,+459
23 Oct 2019,20:30,Dallas Mavericks,Washington Wizards,108,100,-435,+340
23 Oct 2019,21:00,Utah Jazz,Oklahoma City Thunder,100,95,-435,+334
23 Oct 2019,22:00,Portland Trail Blazers,Denver Nuggets,100,108,+100,-118
23 Oct 2019,22:00,Phoenix Suns,Sacramento Kings,124,95,-114,-104
24 Oct 2019,19:00,Detroit Pistons,Atlanta Hawks,100,117,-120,+100
24 Oct 2019,20:00,Houston Rockets,Milwaukee Bucks,111,117,-118,-102
24 Oct 2019,22:30,Golden State Warriors,Los Angeles Clippers,122,141,-103,-114
25 Oct 2019,19:00,Charlotte Hornets,Minnesota Timberwolves,99,121,+175,-213
25 Oct 2019,19:00,Boston Celtics,Toronto Raptors,112,106,-141,+118
25 Oct 2019,19:30,Brooklyn Nets,New York Knicks,113,109,-357,+282
25 Oct 2019,20:00,Oklahoma City Thunder,Washington Wizards,85,97,-400,+313
25 Oct 2019,20:00,New Orleans Pelicans,Dallas Mavericks,116,123,-132,+112
25 Oct 2019,20:00,Memphis Grizzlies,Chicago Bulls,102,110,+112,-133
25 Oct 2019,21:00,Denver Nuggets,Phoenix Suns,108,107,-909,+597
25 Oct 2019,22:00,Sacramento Kings,Portland Trail Blazers,112,122,-103,-116
25 Oct 2019,22:30,Los Angeles Lakers,Utah Jazz,95,86,-156,+133
26 Oct 2019,17:00,Milwaukee Bucks,Miami Heat,126,131,-833,+559
26 Oct 2019,19:00,Detroit Pistons,Philadelphia 76ers,111,117,+144,-172
26 Oct 2019,19:30,New York Knicks,Boston Celtics,95,118,+173,-208
26 Oct 2019,19:30,Atlanta Hawks,Orlando Magic,103,99,+114,-135
26 Oct 2019,20:00,Utah Jazz,Sacramento Kings,113,81,-500,+376
26 Oct 2019,20:00,Houston Rockets,New Orleans Pelicans,126,123,-1111,+597
26 Oct 2019,20:00,Cleveland Cavaliers,Indiana Pacers,110,99,+150,-196
26 Oct 2019,20:00,Chicago Bulls,Toronto Raptors,84,108,+114,-147
26 Oct 2019,20:30,San Antonio Spurs,Washington Wizards,124,122,-909,+584
26 Oct 2019,22:00,Phoenix Suns,Los Angeles Clippers,130,122,+407,-556
27 Oct 2019,15:30,Oklahoma City Thunder,Golden State Warriors,120,92,-108,-111
27 Oct 2019,18:00,Memphis Grizzlies,Brooklyn Nets,134,133,+154,-182
27 Oct 2019,19:00,Minnesota Timberwolves,Miami Heat,116,109,-286,+234
27 Oct 2019,19:00,Dallas Mavericks,Portland Trail Blazers,119,121,-145,+123
27 Oct 2019,21:30,Los Angeles Lakers,Charlotte Hornets,120,101,-1250,+776
28 Oct 2019,19:00,New York Knicks,Chicago Bulls,105,98,+108,-128
28 Oct 2019,19:00,Detroit Pistons,Indiana Pacers,96,94,+104,-125
28 Oct 2019,19:30,Toronto Raptors,Orlando Magic,104,95,-196,+163
28 Oct 2019,19:30,Atlanta Hawks,Philadelphia 76ers,103,105,+227,-278
28 Oct 2019,20:00,New Orleans Pelicans,Golden State Warriors,123,134,-135,+114
28 Oct 2019,20:00,Milwaukee Bucks,Cleveland Cavaliers,129,112,-2500,+1166
28 Oct 2019,20:00,Houston Rockets,Oklahoma City Thunder,116,112,-588,+425
28 Oct 2019,20:30,San Antonio Spurs,Portland Trail Blazers,113,110,-244,+200
28 Oct 2019,22:00,Sacramento Kings,Denver Nuggets,94,101,+172,-204
28 Oct 2019,22:00,Phoenix Suns,Utah Jazz,95,96,+168,-200
28 Oct 2019,22:30,Los Angeles Clippers,Charlotte Hornets,111,96,-2500,+1164
29 Oct 2019,19:30,Miami Heat,Atlanta Hawks,112,97,-385,+304
29 Oct 2019,21:00,Denver Nuggets,Dallas Mavericks,106,109,-222,+181
29 Oct 2019,22:30,Los Angeles Lakers,Memphis Grizzlies,120,91,-833,+574
30 Oct 2019,19:00,Philadelphia 76ers,Minnesota Timberwolves,117,95,-303,+243
30 Oct 2019,19:00,Orlando Magic,New York Knicks,95,83,-526,+392
30 Oct 2019,19:00,Cleveland Cavaliers,Chicago Bulls,117,111,+108,-128
30 Oct 2019,19:30,Toronto Raptors,Detroit Pistons,125,113,-476,+373
30 Oct 2019,19:30,Brooklyn Nets,Indiana Pacers,108,118,-152,+127
30 Oct 2019,19:30,Boston Celtics,Milwaukee Bucks,116,105,+137,-161
30 Oct 2019,20:00,Washington Wizards,Houston Rockets,158,159,+283,-357
30 Oct 2019,20:00,Oklahoma City Thunder,Portland Trail Blazers,99,102,+104,-123
30 Oct 2019,22:00,Utah Jazz,Los Angeles Clippers,110,96,-286,+229
30 Oct 2019,22:00,Sacramento Kings,Charlotte Hornets,111,118,-323,+257
30 Oct 2019,22:30,Golden State Warriors,Phoenix Suns,110,121,-217,+181
31 Oct 2019,19:00,Atlanta Hawks,Miami Heat,97,106,+218,-263
31 Oct 2019,21:30,New Orleans Pelicans,Denver Nuggets,122,107,+143,-169
31 Oct 2019,22:30,Los Angeles Clippers,San Antonio Spurs,103,97,-196,+165
01 Nov 2019,19:00,Orlando Magic,Milwaukee Bucks,91,123,+161,-189
01 Nov 2019,19:00,Indiana Pacers,Cleveland Cavaliers,102,95,-294,+239
01 Nov 2019,19:00,Brooklyn Nets,Houston Rockets,123,116,+161,-189
01 Nov 2019,19:30,Boston Celtics,New York Knicks,104,102,-526,+388
01 Nov 2019,20:00,Chicago Bulls,Detroit Pistons,112,106,-179,+152
01 Nov 2019,21:30,Dallas Mavericks,Los Angeles Lakers,110,119,-111,-106
01 Nov 2019,22:00,Sacramento Kings,Utah Jazz,102,101,+156,-182
01 Nov 2019,22:30,Golden State Warriors,San Antonio Spurs,110,127,+239,-294
02 Nov 2019,17:00,Oklahoma City Thunder,New Orleans Pelicans,115,104,-133,+114
02 Nov 2019,19:00,Orlando Magic,Denver Nuggets,87,91,+144,-169
02 Nov 2019,19:00,Detroit Pistons,Brooklyn Nets,113,109,+152,-179
02 Nov 2019,20:00,Washington Wizards,Minnesota Timberwolves,109,131,-147,+125
02 Nov 2019,20:00,Milwaukee Bucks,Toronto Raptors,115,105,-263,+215
02 Nov 2019,20:00,Memphis Grizzlies,Phoenix Suns,105,114,+125,-149
02 Nov 2019,20:30,Golden State Warriors,Charlotte Hornets,87,93,+206,-250
02 Nov 2019,22:00,Portland Trail Blazers,Philadelphia 76ers,128,129,-108,-111
03 Nov 2019,17:00,Indiana Pacers,Chicago Bulls,108,95,-130,+110
03 Nov 2019,18:00,New York Knicks,Sacramento Kings,92,113,+102,-122
03 Nov 2019,18:00,Miami Heat,Houston Rockets,129,100,+131,-154
03 Nov 2019,19:00,San Antonio Spurs,Los Angeles Lakers,96,103,+104,-123
03 Nov 2019,19:30,Cleveland Cavaliers,Dallas Mavericks,111,131,+184,-222
03 Nov 2019,21:00,Los Angeles Clippers,Utah Jazz,105,94,-192,+163
04 Nov 2019,19:00,Washington Wizards,Detroit Pistons,115,99,-167,+142
04 Nov 2019,19:30,Brooklyn Nets,New Orleans Pelicans,135,125,-164,+141
04 Nov 2019,20:00,Minnesota Timberwolves,Milwaukee Bucks,106,134,+272,-345
04 Nov 2019,20:00,Memphis Grizzlies,Houston Rockets,100,107,+202,-244
04 Nov 2019,21:00,Phoenix Suns,Philadelphia 76ers,114,109,-112,-105
04 Nov 2019,22:30,Golden State Warriors,Portland Trail Blazers,127,118,+596,-909
05 Nov 2019,19:00,Cleveland Cavaliers,Boston Celtics,113,119,+206,-250
05 Nov 2019,19:00,Charlotte Hornets,Indiana Pacers,122,120,+116,-137
05 Nov 2019,19:30,Atlanta Hawks,San Antonio Spurs,108,100,+197,-238
05 Nov 2019,20:00,Oklahoma City Thunder,Orlando Magic,102,94,-147,+124
05 Nov 2019,20:00,Chicago Bulls,Los Angeles Lakers,112,118,+246,-303
05 Nov 2019,21:00,Denver Nuggets,Miami Heat,109,89,-208,+174
06 Nov 2019,19:00,Indiana Pacers,Washington Wizards,121,106,-143,+122
06 Nov 2019,19:00,Detroit Pistons,New York Knicks,122,102,-167,+143
06 Nov 2019,19:30,Toronto Raptors,Sacramento Kings,124,120,-370,+294
06 Nov 2019,19:30,Houston Rockets,Golden State Warriors,129,112,-2500,+1196
06 Nov 2019,19:30,Atlanta Hawks,Chicago Bulls,93,113,-106,-112
06 Nov 2019,20:00,Memphis Grizzlies,Minnesota Timberwolves,137,121,+136,-159
06 Nov 2019,20:30,Dallas Mavericks,Orlando Magic,107,106,-303,+245
06 Nov 2019,21:00,Utah Jazz,Philadelphia 76ers,106,104,-141,+119
