Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Indiana Pacers,Toronto Raptors,122,130,-227,+181
N/A,Los Angeles Clippers,Sacramento Kings,107,123,-175,+145
N/A,Portland Trail Blazers,Charlotte Hornets,80,93,-164,+137
N/A,Utah Jazz,San Antonio Spurs,128,109,-270,+216
N/A,Atlanta Hawks,Orlando Magic,109,92,-128,+108
N/A,Golden State Warriors,Denver Nuggets,103,119,-133,+110
N/A,Houston Rockets,Oklahoma City Thunder,110,123,+199,-250
N/A,New Orleans Pelicans,Chicago Bulls,106,114,-204,+165
N/A,Washington Wizards,Cleveland Cavaliers,105,114,+633,-1000
N/A,Indiana Pacers,Dallas Mavericks,133,111,+110,-133
N/A,Phoenix Suns,Los Angeles Lakers,123,113,-159,+133
N/A,Philadelphia 76ers,Milwaukee Bucks,98,119,+164,-196
N/A,Minnesota Timberwolves,Brooklyn Nets,101,86,-333,+263
N/A,New York Knicks,Boston Celtics,102,116,+194,-238
N/A,Detroit Pistons,Orlando Magic,109,112,+262,-345
N/A,Los Angeles Lakers,San Antonio Spurs,123,118,-556,+397
N/A,Golden State Warriors,Charlotte Hornets,97,84,-714,+497
N/A,Minnesota Timberwolves,Milwaukee Bucks,107,112,-175,+148
N/A,Portland Trail Blazers,Denver Nuggets,112,127,+279,-370
N/A,Houston Rockets,Phoenix Suns,114,110,+121,-145
N/A,Memphis Grizzlies,Los Angeles Clippers,95,101,+312,-417
N/A,New Orleans Pelicans,Miami Heat,95,106,-132,+112
N/A,Oklahoma City Thunder,Washington Wizards,147,106,-1667,+877
N/A,Atlanta Hawks,Toronto Raptors,121,123,-303,+238
N/A,Philadelphia 76ers,Cleveland Cavaliers,104,97,+108,-130
N/A,Golden State Warriors,Los Angeles Lakers,128,110,-227,+181
N/A,Sacramento Kings,San Antonio Spurs,127,122,-588,+405
N/A,Denver Nuggets,Washington Wizards,130,110,-1429,+776
N/A,Utah Jazz,Charlotte Hornets,107,115,-455,+337
N/A,Chicago Bulls,Boston Celtics,112,129,+276,-357
N/A,New Orleans Pelicans,Houston Rockets,127,105,-270,+210
N/A,Oklahoma City Thunder,Los Angeles Clippers,129,107,-122,+100
N/A,Dallas Mavericks,Phoenix Suns,123,113,-137,+114
N/A,Cleveland Cavaliers,Orlando Magic,109,116,-227,+185
N/A,Indiana Pacers,Detroit Pistons,129,115,-769,+498
N/A,Philadelphia 76ers,New York Knicks,96,110,-120,+100
N/A,Toronto Raptors,Brooklyn Nets,121,93,-119,-101
N/A,East,West,211,186,+114,-141
N/A,Portland Trail Blazers,Minnesota Timberwolves,91,128,+351,-476
N/A,Utah Jazz,Golden State Warriors,137,140,+114,-135
N/A,Memphis Grizzlies,Milwaukee Bucks,113,110,+652,-1000
N/A,Golden State Warriors,Los Angeles Clippers,125,130,-164,+137
N/A,Denver Nuggets,Sacramento Kings,98,102,-208,+171
N/A,Phoenix Suns,Detroit Pistons,116,100,-1000,+623
N/A,Utah Jazz,Los Angeles Lakers,122,138,-192,+160
N/A,Dallas Mavericks,San Antonio Spurs,116,93,-625,+436
N/A,Memphis Grizzlies,Houston Rockets,121,113,+116,-137
N/A,New Orleans Pelicans,Washington Wizards,133,126,-1111,+687
N/A,Boston Celtics,Brooklyn Nets,136,86,-714,+487
N/A,Cleveland Cavaliers,Chicago Bulls,108,105,-435,+324
N/A,Toronto Raptors,Indiana Pacers,125,127,+121,-145
N/A,Charlotte Hornets,Atlanta Hawks,122,99,+215,-270
N/A,Orlando Magic,New York Knicks,118,100,-159,+133
N/A,Philadelphia 76ers,Miami Heat,104,109,-141,+118
N/A,Los Angeles Lakers,Detroit Pistons,125,111,-625,+444
N/A,Phoenix Suns,Sacramento Kings,130,125,-182,+152
N/A,Portland Trail Blazers,Minnesota Timberwolves,109,121,+295,-385
N/A,Milwaukee Bucks,Miami Heat,97,123,-294,+239
N/A,Brooklyn Nets,Boston Celtics,110,118,+262,-333
N/A,Orlando Magic,Oklahoma City Thunder,113,127,+120,-143
N/A,Los Angeles Clippers,Minnesota Timberwolves,100,121,-200,+163
N/A,Utah Jazz,Golden State Warriors,107,129,-105,-114
N/A,Dallas Mavericks,Washington Wizards,112,104,-714,+496
N/A,Houston Rockets,New York Knicks,105,103,-109,-110
N/A,Memphis Grizzlies,New Orleans Pelicans,87,96,+330,-435
N/A,Milwaukee Bucks,Denver Nuggets,112,95,-115,-102
N/A,Atlanta Hawks,Chicago Bulls,126,136,-196,+160
N/A,Toronto Raptors,San Antonio Spurs,99,122,-238,+191
N/A,Charlotte Hornets,Indiana Pacers,111,102,+359,-476
N/A,Cleveland Cavaliers,Philadelphia 76ers,121,123,-667,+453
N/A,Oklahoma City Thunder,Sacramento Kings,127,113,-152,+127
N/A,Miami Heat,Boston Celtics,106,110,+246,-312
N/A,Portland Trail Blazers,New Orleans Pelicans,84,93,+267,-345
N/A,Golden State Warriors,Phoenix Suns,113,112,+100,-119
N/A,Atlanta Hawks,Houston Rockets,122,113,-278,+222
N/A,New York Knicks,Indiana Pacers,111,125,+139,-164
N/A,Toronto Raptors,Cleveland Cavaliers,95,119,+285,-370
N/A,Charlotte Hornets,Memphis Grizzlies,115,106,+167,-204
N/A,Orlando Magic,Chicago Bulls,114,108,-204,+166
N/A,Washington Wizards,Philadelphia 76ers,113,119,+175,-217
N/A,Brooklyn Nets,San Antonio Spurs,123,103,-227,+186
N/A,Los Angeles Clippers,Detroit Pistons,112,106,-1667,+876
N/A,Dallas Mavericks,Oklahoma City Thunder,146,111,+100,-120
N/A,Los Angeles Lakers,New Orleans Pelicans,139,122,+118,-141
N/A,Sacramento Kings,Denver Nuggets,135,106,-147,+123
N/A,Milwaukee Bucks,Charlotte Hornets,120,84,-1667,+909
N/A,Boston Celtics,Washington Wizards,133,129,-2500,+1221
N/A,Toronto Raptors,Houston Rockets,107,104,-143,+121
N/A,Philadelphia 76ers,Atlanta Hawks,121,127,+135,-159
N/A,Los Angeles Lakers,Denver Nuggets,106,114,+127,-152
N/A,Portland Trail Blazers,Detroit Pistons,122,128,-182,+150
N/A,Phoenix Suns,Utah Jazz,129,115,-213,+172
N/A,Memphis Grizzlies,Chicago Bulls,110,118,+175,-217
N/A,Milwaukee Bucks,Minnesota Timberwolves,105,129,+108,-130
N/A,Brooklyn Nets,Cleveland Cavaliers,95,118,+234,-303
N/A,New York Knicks,Dallas Mavericks,108,122,+187,-233
N/A,Indiana Pacers,Golden State Warriors,109,131,-227,+181
N/A,Orlando Magic,San Antonio Spurs,127,111,-500,+375
N/A,Los Angeles Clippers,New Orleans Pelicans,106,117,-208,+172
N/A,Sacramento Kings,Detroit Pistons,120,133,-909,+580
N/A,Boston Celtics,Atlanta Hawks,125,117,-714,+491
N/A,Miami Heat,San Antonio Spurs,116,104,-333,+264
N/A,Philadelphia 76ers,Golden State Warriors,104,127,+129,-154
N/A,Charlotte Hornets,Toronto Raptors,117,123,+220,-278
N/A,Washington Wizards,Cleveland Cavaliers,106,114,+466,-667
N/A,Phoenix Suns,Milwaukee Bucks,114,106,-227,+179
N/A,Utah Jazz,Oklahoma City Thunder,124,117,+129,-154
N/A,Chicago Bulls,Minnesota Timberwolves,129,123,+170,-208
N/A,Brooklyn Nets,Dallas Mavericks,107,119,+129,-154
N/A,Miami Heat,Orlando Magic,121,95,-159,+131
N/A,New York Knicks,Memphis Grizzlies,123,113,-1000,+645
N/A,Indiana Pacers,Houston Rockets,132,129,-333,+261
N/A,New Orleans Pelicans,Toronto Raptors,138,100,-526,+387
N/A,Atlanta Hawks,Los Angeles Clippers,144,149,+146,-175
N/A,Brooklyn Nets,Golden State Warriors,98,109,-108,-110
N/A,Charlotte Hornets,Los Angeles Lakers,118,124,+557,-833
N/A,Cleveland Cavaliers,Sacramento Kings,136,110,-196,+161
N/A,Philadelphia 76ers,Dallas Mavericks,102,118,+121,-145
N/A,Denver Nuggets,Portland Trail Blazers,112,103,-1429,+789
N/A,Utah Jazz,Milwaukee Bucks,123,108,-137,+116
N/A,Minnesota Timberwolves,Houston Rockets,111,90,-323,+256
N/A,Oklahoma City Thunder,Toronto Raptors,135,127,-370,+281
N/A,Boston Celtics,Memphis Grizzlies,131,91,-3333,+1224
N/A,Charlotte Hornets,Indiana Pacers,99,115,+459,-667
N/A,Miami Heat,Los Angeles Clippers,95,103,+159,-192
N/A,Washington Wizards,Phoenix Suns,112,140,+411,-588
N/A,Detroit Pistons,Orlando Magic,99,111,+202,-256
N/A,Dallas Mavericks,Milwaukee Bucks,117,129,+141,-169
N/A,New York Knicks,Los Angeles Lakers,105,113,-132,+112
N/A,San Antonio Spurs,Cleveland Cavaliers,101,117,+375,-500
N/A,Chicago Bulls,Sacramento Kings,115,123,-115,-102
N/A,Atlanta Hawks,Golden State Warriors,141,134,-132,+110
N/A,Philadelphia 76ers,Brooklyn Nets,121,136,-130,+110
N/A,Denver Nuggets,Portland Trail Blazers,120,108,-1000,+622
N/A,Houston Rockets,Toronto Raptors,135,106,-179,+148
N/A,Memphis Grizzlies,Golden State Warriors,101,121,+235,-303
N/A,Minnesota Timberwolves,Orlando Magic,106,108,-270,+213
N/A,Oklahoma City Thunder,Charlotte Hornets,126,106,-1429,+777
N/A,San Antonio Spurs,New Orleans Pelicans,113,114,+277,-357
N/A,Atlanta Hawks,Phoenix Suns,129,120,+127,-152
N/A,Indiana Pacers,Sacramento Kings,122,133,+143,-172
N/A,Detroit Pistons,Los Angeles Clippers,125,136,+459,-667
N/A,Washington Wizards,Miami Heat,102,110,+252,-323
N/A,Utah Jazz,Philadelphia 76ers,124,127,-189,+156
N/A,Memphis Grizzlies,Cleveland Cavaliers,101,108,+286,-370
N/A,Boston Celtics,Los Angeles Lakers,105,114,-1429,+809
N/A,New York Knicks,Indiana Pacers,109,105,-127,+106
N/A,Portland Trail Blazers,Milwaukee Bucks,119,116,+382,-526
N/A,Brooklyn Nets,Phoenix Suns,120,136,+136,-161
N/A,Houston Rockets,New Orleans Pelicans,99,110,-116,-103
N/A,Minnesota Timberwolves,Dallas Mavericks,121,87,-909,+594
N/A,Oklahoma City Thunder,Denver Nuggets,105,100,-222,+179
N/A,San Antonio Spurs,Orlando Magic,98,108,+200,-250
N/A,Miami Heat,Sacramento Kings,115,106,-133,+112
N/A,Charlotte Hornets,Chicago Bulls,110,117,+186,-227
N/A,Cleveland Cavaliers,Detroit Pistons,128,121,-909,+591
N/A,Washington Wizards,Los Angeles Clippers,109,125,+326,-435
N/A,Golden State Warriors,Philadelphia 76ers,119,107,-132,+110
N/A,Chicago Bulls,Toronto Raptors,107,118,-270,+219
N/A,Atlanta Hawks,Los Angeles Lakers,138,122,-222,+179
N/A,Boston Celtics,Indiana Pacers,129,124,-323,+257
N/A,New York Knicks,Utah Jazz,118,103,-159,+133
N/A,Portland Trail Blazers,Philadelphia 76ers,130,104,+179,-222
N/A,Denver Nuggets,Milwaukee Bucks,113,107,-172,+145
N/A,Dallas Mavericks,Orlando Magic,131,129,-175,+146
N/A,Houston Rockets,Los Angeles Lakers,135,119,-101,-118
N/A,Memphis Grizzlies,Sacramento Kings,94,103,+394,-556
N/A,Oklahoma City Thunder,Minnesota Timberwolves,101,107,-143,+120
N/A,San Antonio Spurs,Washington Wizards,113,118,-164,+136
N/A,Boston Celtics,New Orleans Pelicans,118,112,-323,+252
N/A,Brooklyn Nets,Utah Jazz,147,114,-110,-108
N/A,Miami Heat,Phoenix Suns,105,118,-135,+112
N/A,Charlotte Hornets,New York Knicks,92,113,+323,-435
N/A,Cleveland Cavaliers,Los Angeles Clippers,118,108,+104,-125
N/A,Portland Trail Blazers,Chicago Bulls,96,104,+186,-233
N/A,Atlanta Hawks,Toronto Raptors,126,125,-238,+191
N/A,Orlando Magic,Phoenix Suns,113,98,+102,-122
N/A,Indiana Pacers,Memphis Grizzlies,116,110,-294,+234
N/A,Detroit Pistons,Oklahoma City Thunder,120,104,+576,-833
N/A,Dallas Mavericks,Sacramento Kings,115,120,+145,-172
N/A,Golden State Warriors,Los Angeles Lakers,144,145,-122,+102
N/A,San Antonio Spurs,Minnesota Timberwolves,113,112,+374,-526
N/A,Milwaukee Bucks,New Orleans Pelicans,141,117,-159,+133
N/A,Boston Celtics,Los Angeles Clippers,96,115,-270,+216
N/A,Charlotte Hornets,Utah Jazz,122,134,+351,-476
N/A,Brooklyn Nets,Houston Rockets,106,104,-172,+143
N/A,Denver Nuggets,Philadelphia 76ers,111,105,-345,+254
N/A,New York Knicks,Miami Heat,125,109,-189,+154
N/A,Detroit Pistons,Washington Wizards,104,118,-154,+129
N/A,San Antonio Spurs,Portland Trail Blazers,116,100,-196,+163
N/A,Memphis Grizzlies,Orlando Magic,107,106,+200,-244
N/A,Milwaukee Bucks,Cleveland Cavaliers,100,112,-217,+175
N/A,New Orleans Pelicans,Oklahoma City Thunder,83,107,+102,-122
N/A,Toronto Raptors,Los Angeles Clippers,107,127,+260,-333
N/A,Atlanta Hawks,Dallas Mavericks,143,148,-130,+108
N/A,Charlotte Hornets,Houston Rockets,104,138,+161,-196
N/A,Indiana Pacers,Phoenix Suns,133,131,+158,-192
N/A,Los Angeles Lakers,Chicago Bulls,141,132,-233,+188
N/A,Golden State Warriors,Sacramento Kings,133,134,+104,-122
N/A,Brooklyn Nets,Minnesota Timberwolves,94,96,+140,-167
N/A,Miami Heat,Boston Celtics,110,143,+260,-333
N/A,New York Knicks,Denver Nuggets,122,84,+116,-137
N/A,Indiana Pacers,Philadelphia 76ers,134,122,+141,-169
N/A,Washington Wizards,Utah Jazz,108,123,+221,-278
N/A,Golden State Warriors,Atlanta Hawks,134,112,-238,+197
N/A,San Antonio Spurs,Oklahoma City Thunder,114,140,+297,-385
N/A,Dallas Mavericks,Phoenix Suns,109,132,+112,-133
N/A,Houston Rockets,Portland Trail Blazers,131,137,-476,+357
N/A,Milwaukee Bucks,Cleveland Cavaliers,126,116,-263,+216
N/A,Miami Heat,Memphis Grizzlies,96,105,-625,+444
N/A,Detroit Pistons,Charlotte Hornets,113,106,-139,+117
N/A,Washington Wizards,Minnesota Timberwolves,107,118,+390,-526
N/A,Los Angeles Clippers,Los Angeles Lakers,127,116,-400,+316
N/A,New Orleans Pelicans,Utah Jazz,153,124,-263,+213
N/A,Oklahoma City Thunder,Portland Trail Blazers,111,109,-833,+577
N/A,Brooklyn Nets,New York Knicks,103,108,+137,-161
N/A,Indiana Pacers,Denver Nuggets,109,114,+166,-196
N/A,Sacramento Kings,Atlanta Hawks,122,107,-345,+269
N/A,Phoenix Suns,Chicago Bulls,115,113,-208,+172
N/A,Dallas Mavericks,Boston Celtics,110,119,+119,-139
N/A,Minnesota Timberwolves,Charlotte Hornets,125,128,-1000,+659
N/A,Toronto Raptors,Memphis Grizzlies,100,108,-263,+218
N/A,Detroit Pistons,Milwaukee Bucks,113,122,+508,-714
N/A,Orlando Magic,Cleveland Cavaliers,99,126,+114,-135
N/A,Philadelphia 76ers,San Antonio Spurs,133,123,-909,+608
N/A,Los Angeles Lakers,Portland Trail Blazers,134,110,-588,+419
N/A,Phoenix Suns,Indiana Pacers,117,110,-263,+212
N/A,Houston Rockets,Boston Celtics,107,116,+496,-714
N/A,Orlando Magic,Miami Heat,105,87,-111,-106
N/A,Washington Wizards,Denver Nuggets,104,113,+519,-769
N/A,Los Angeles Clippers,Brooklyn Nets,125,114,-476,+363
N/A,Chicago Bulls,Memphis Grizzlies,125,96,-303,+244
N/A,Houston Rockets,Utah Jazz,127,126,-128,+108
N/A,Minnesota Timberwolves,Oklahoma City Thunder,97,102,-149,+124
N/A,Atlanta Hawks,Cleveland Cavaliers,95,116,+112,-133
N/A,New York Knicks,Toronto Raptors,126,100,-294,+234
N/A,Charlotte Hornets,Philadelphia 76ers,89,97,+463,-667
N/A,Washington Wizards,San Antonio Spurs,127,131,-132,+110
N/A,Detroit Pistons,Milwaukee Bucks,135,141,+611,-909
N/A,Los Angeles Lakers,Brooklyn Nets,112,130,-286,+229
N/A,Portland Trail Blazers,Indiana Pacers,118,115,+257,-323
N/A,Miami Heat,Atlanta Hawks,108,109,-286,+227
N/A,New Orleans Pelicans,Phoenix Suns,109,123,-135,+114
N/A,Boston Celtics,Denver Nuggets,100,102,-278,+222
N/A,Charlotte Hornets,San Antonio Spurs,124,120,-189,+156
N/A,Orlando Magic,Philadelphia 76ers,109,124,+168,-204
N/A,Minnesota Timberwolves,Memphis Grizzlies,118,103,-714,+503
N/A,Sacramento Kings,Indiana Pacers,121,126,-345,+273
N/A,Utah Jazz,Oklahoma City Thunder,129,134,+127,-152
N/A,New York Knicks,Washington Wizards,113,109,-667,+476
N/A,Toronto Raptors,Chicago Bulls,110,116,+108,-128
N/A,Portland Trail Blazers,Brooklyn Nets,105,103,+174,-213
N/A,Los Angeles Lakers,Dallas Mavericks,127,110,-152,+127
N/A,New Orleans Pelicans,Charlotte Hornets,132,112,-714,+487
N/A,Atlanta Hawks,Orlando Magic,106,104,-175,+147
N/A,Boston Celtics,San Antonio Spurs,117,98,-1250,+723
N/A,Cleveland Cavaliers,Milwaukee Bucks,135,95,-123,+104
N/A,New York Knicks,Houston Rockets,109,94,-278,+224
N/A,Toronto Raptors,Miami Heat,121,97,+125,-149
N/A,Detroit Pistons,Minnesota Timberwolves,117,124,+508,-769
N/A,Los Angeles Clippers,Oklahoma City Thunder,128,117,-244,+198
N/A,Phoenix Suns,Sacramento Kings,119,117,-172,+146
N/A,Philadelphia 76ers,Denver Nuggets,126,121,-125,+106
N/A,Los Angeles Lakers,Oklahoma City Thunder,112,105,+120,-141
N/A,Utah Jazz,Indiana Pacers,132,105,-270,+217
N/A,Brooklyn Nets,Miami Heat,95,96,-103,-114
N/A,Toronto Raptors,Boston Celtics,96,105,+214,-263
N/A,Cleveland Cavaliers,Chicago Bulls,109,91,-179,+150
N/A,Memphis Grizzlies,Golden State Warriors,116,107,+244,-303
N/A,Atlanta Hawks,San Antonio Spurs,109,99,-333,+270
N/A,New York Knicks,Orlando Magic,94,98,-217,+179
N/A,Washington Wizards,Detroit Pistons,117,129,-222,+181
N/A,Dallas Mavericks,New Orleans Pelicans,125,120,+161,-196
N/A,Philadelphia 76ers,Houston Rockets,124,115,-333,+269
N/A,Portland Trail Blazers,Phoenix Suns,116,127,+646,-1000
N/A,Milwaukee Bucks,Sacramento Kings,143,142,-169,+144
N/A,Minnesota Timberwolves,Los Angeles Clippers,109,105,-109,-109
N/A,Miami Heat,Charlotte Hornets,104,87,-385,+299
N/A,Denver Nuggets,Indiana Pacers,117,109,-526,+401
N/A,Utah Jazz,Los Angeles Lakers,132,125,-141,+119
N/A,Dallas Mavericks,New Orleans Pelicans,108,118,-217,+175
N/A,San Antonio Spurs,Chicago Bulls,116,122,+204,-250
N/A,Memphis Grizzlies,New York Knicks,94,106,+405,-526
N/A,Milwaukee Bucks,Golden State Warriors,129,118,-909,+631
N/A,Oklahoma City Thunder,Orlando Magic,112,100,-625,+451
N/A,Atlanta Hawks,Washington Wizards,99,127,-323,+254
N/A,Boston Celtics,Houston Rockets,145,113,-1111,+709
N/A,Denver Nuggets,New Orleans Pelicans,125,113,-222,+185
N/A,Utah Jazz,Toronto Raptors,145,113,-119,+102
N/A,Chicago Bulls,Golden State Warriors,131,140,-143,+122
N/A,Memphis Grizzlies,Los Angeles Clippers,119,128,+282,-345
N/A,Miami Heat,Orlando Magic,99,96,-120,+102
N/A,Minnesota Timberwolves,Portland Trail Blazers,116,93,-1429,+855
N/A,San Antonio Spurs,Charlotte Hornets,135,99,-135,+114
N/A,Atlanta Hawks,Indiana Pacers,108,126,-217,+179
N/A,Detroit Pistons,Houston Rockets,110,112,+289,-370
N/A,Philadelphia 76ers,Sacramento Kings,112,93,-110,-106
N/A,Los Angeles Lakers,Phoenix Suns,109,127,+100,-116
N/A,Dallas Mavericks,New York Knicks,128,124,+164,-196
N/A,Oklahoma City Thunder,Portland Trail Blazers,139,77,-909,+628
N/A,Milwaukee Bucks,Boston Celtics,135,102,-132,+112
N/A,Cleveland Cavaliers,Brooklyn Nets,111,102,-164,+139
N/A,Los Angeles Clippers,Toronto Raptors,126,120,-625,+451
N/A,Utah Jazz,Denver Nuggets,124,111,+217,-263
N/A,Golden State Warriors,New Orleans Pelicans,105,141,+119,-139
N/A,Chicago Bulls,Houston Rockets,124,119,-167,+142
N/A,Atlanta Hawks,Philadelphia 76ers,139,132,-114,-102
N/A,Miami Heat,Oklahoma City Thunder,120,128,+152,-182
N/A,Boston Celtics,Minnesota Timberwolves,127,120,-556,+399
N/A,Charlotte Hornets,Sacramento Kings,98,123,+272,-345
N/A,Detroit Pistons,San Antonio Spurs,108,130,+129,-154
N/A,Indiana Pacers,Washington Wizards,112,104,-333,+264
N/A,Los Angeles Lakers,Toronto Raptors,132,131,-192,+161
N/A,Dallas Mavericks,Memphis Grizzlies,103,120,-435,+344
N/A,New York Knicks,Portland Trail Blazers,112,84,-769,+552
N/A,Detroit Pistons,Sacramento Kings,110,131,+418,-556
N/A,Orlando Magic,Minnesota Timberwolves,92,113,+172,-204
N/A,Los Angeles Clippers,Phoenix Suns,138,111,-204,+171
N/A,Milwaukee Bucks,Utah Jazz,116,132,-357,+283
N/A,Miami Heat,Houston Rockets,120,113,-175,+149
N/A,Charlotte Hornets,Chicago Bulls,112,119,+215,-270
N/A,Indiana Pacers,Boston Celtics,133,131,+131,-159
N/A,Washington Wizards,Oklahoma City Thunder,128,136,+438,-588
N/A,Los Angeles Lakers,Los Angeles Clippers,106,103,+167,-196
N/A,Golden State Warriors,Toronto Raptors,118,133,-130,+112
N/A,Denver Nuggets,Detroit Pistons,131,114,-1429,+894
N/A,Phoenix Suns,Memphis Grizzlies,115,121,-294,+243
N/A,Dallas Mavericks,Minnesota Timberwolves,115,108,+112,-132
N/A,Orlando Magic,Atlanta Hawks,117,110,+118,-139
N/A,Sacramento Kings,New Orleans Pelicans,100,133,-185,+156
N/A,Brooklyn Nets,Portland Trail Blazers,127,134,-370,+297
N/A,Cleveland Cavaliers,San Antonio Spurs,117,115,-526,+403
N/A,Houston Rockets,Milwaukee Bucks,112,108,+225,-278
N/A,Philadelphia 76ers,Utah Jazz,109,120,-263,+215
N/A,Indiana Pacers,Boston Celtics,101,118,+218,-270
N/A,Washington Wizards,New York Knicks,105,121,+318,-400
N/A,Golden State Warriors,Detroit Pistons,113,109,-500,+380
N/A,Los Angeles Lakers,Memphis Grizzlies,113,127,-172,+147
N/A,Sacramento Kings,Toronto Raptors,135,130,-185,+156
N/A,Denver Nuggets,Orlando Magic,120,122,-476,+366
N/A,Phoenix Suns,Miami Heat,113,97,-143,+121
N/A,Dallas Mavericks,Portland Trail Blazers,139,103,-303,+243
N/A,Chicago Bulls,Charlotte Hornets,104,91,-370,+295
N/A,Houston Rockets,Minnesota Timberwolves,95,122,+146,-172
N/A,New Orleans Pelicans,Los Angeles Clippers,95,111,-106,-110
N/A,Brooklyn Nets,Oklahoma City Thunder,124,115,+159,-192
N/A,Cleveland Cavaliers,Washington Wizards,114,90,-500,+392
N/A,Philadelphia 76ers,New York Knicks,92,128,-227,+186
N/A,Boston Celtics,Utah Jazz,126,97,-1111,+708
N/A,Indiana Pacers,Atlanta Hawks,150,116,-141,+120
N/A,Golden State Warriors,Denver Nuggets,127,130,+143,-167
N/A,San Antonio Spurs,Milwaukee Bucks,121,125,+428,-556
N/A,Los Angeles Lakers,Miami Heat,96,110,-200,+167
N/A,Sacramento Kings,Orlando Magic,138,135,-208,+173
N/A,Phoenix Suns,Los Angeles Clippers,122,131,+144,-169
N/A,Utah Jazz,Detroit Pistons,154,148,-357,+285
N/A,Dallas Mavericks,Portland Trail Blazers,126,97,-556,+419
N/A,New York Knicks,Chicago Bulls,116,100,-333,+270
N/A,Houston Rockets,Brooklyn Nets,112,101,-169,+144
N/A,Memphis Grizzlies,Toronto Raptors,111,116,-115,-102
N/A,Minnesota Timberwolves,New Orleans Pelicans,106,117,-233,+192
N/A,Atlanta Hawks,Oklahoma City Thunder,141,138,-112,-104
N/A,Cleveland Cavaliers,Washington Wizards,140,101,-400,+309
N/A,Indiana Pacers,Milwaukee Bucks,142,130,+134,-159
N/A,Golden State Warriors,Orlando Magic,121,115,-167,+140
N/A,Sacramento Kings,Charlotte Hornets,104,111,-1250,+766
N/A,Memphis Grizzlies,San Antonio Spurs,106,98,-556,+422
N/A,New Orleans Pelicans,Brooklyn Nets,112,85,-217,+177
N/A,Oklahoma City Thunder,Boston Celtics,127,123,+146,-172
N/A,Philadelphia 76ers,Chicago Bulls,110,97,-455,+353
N/A,Los Angeles Clippers,Miami Heat,121,104,-333,+269
N/A,Denver Nuggets,Charlotte Hornets,111,93,-1667,+930
N/A,Phoenix Suns,Portland Trail Blazers,109,88,-417,+328
N/A,Utah Jazz,Dallas Mavericks,127,90,+152,-182
N/A,Houston Rockets,Detroit Pistons,136,113,-400,+322
N/A,Milwaukee Bucks,Indiana Pacers,113,122,-323,+261
N/A,Toronto Raptors,Cleveland Cavaliers,124,121,-143,+122
N/A,New York Knicks,Minnesota Timberwolves,112,106,-101,-115
N/A,Memphis Grizzlies,Sacramento Kings,92,123,-112,-104
N/A,Phoenix Suns,Orlando Magic,112,107,-227,+186
N/A,New Orleans Pelicans,Los Angeles Lakers,129,109,-227,+184
N/A,Oklahoma City Thunder,Brooklyn Nets,124,108,-294,+239
N/A,San Antonio Spurs,Boston Celtics,101,134,+713,-1111
N/A,Washington Wizards,Atlanta Hawks,126,130,+206,-250
N/A,Golden State Warriors,Dallas Mavericks,122,132,-172,+146
N/A,Chicago Bulls,Philadelphia 76ers,105,92,-111,-105
N/A,Minnesota Timberwolves,Los Angeles Lakers,108,106,-172,+145
N/A,Indiana Pacers,New York Knicks,140,126,-167,+142
N/A,Detroit Pistons,Toronto Raptors,129,127,+141,-167
N/A,Utah Jazz,Miami Heat,117,109,+129,-152
N/A,Los Angeles Clippers,Memphis Grizzlies,117,106,-169,+144
N/A,Portland Trail Blazers,San Antonio Spurs,134,128,-185,+154
N/A,Denver Nuggets,Oklahoma City Thunder,93,119,-127,+108
N/A,Phoenix Suns,Charlotte Hornets,133,119,-1111,+743
N/A,Houston Rockets,Philadelphia 76ers,127,131,+100,-119
N/A,Atlanta Hawks,Sacramento Kings,110,117,-101,-116
N/A,Boston Celtics,Toronto Raptors,120,118,-192,+162
N/A,Cleveland Cavaliers,Milwaukee Bucks,111,119,+170,-200
N/A,Orlando Magic,New York Knicks,117,108,-104,-112
N/A,Washington Wizards,Brooklyn Nets,110,104,+194,-233
N/A,Los Angeles Lakers,Charlotte Hornets,133,112,-833,+578
N/A,Golden State Warriors,Miami Heat,102,114,-250,+206
N/A,Portland Trail Blazers,San Antonio Spurs,105,118,-156,+133
N/A,Denver Nuggets,Memphis Grizzlies,142,105,-400,+313
N/A,Chicago Bulls,Indiana Pacers,104,120,-105,-110
N/A,Minnesota Timberwolves,Dallas Mavericks,118,110,-714,+520
N/A,New Orleans Pelicans,Utah Jazz,112,105,-370,+295
N/A,Boston Celtics,Detroit Pistons,128,122,-1429,+852
N/A,Dallas Mavericks,Cleveland Cavaliers,110,113,-238,+195
N/A,Houston Rockets,Phoenix Suns,113,129,+129,-152
N/A,Oklahoma City Thunder,New York Knicks,129,120,-159,+136
N/A,Brooklyn Nets,Milwaukee Bucks,122,144,+344,-455
N/A,Orlando Magic,Philadelphia 76ers,92,112,-133,+114
N/A,Washington Wizards,Toronto Raptors,102,132,+220,-270
N/A,Los Angeles Clippers,Charlotte Hornets,113,104,-526,+395
N/A,Portland Trail Blazers,Sacramento Kings,130,113,+308,-385
N/A,Chicago Bulls,Atlanta Hawks,118,113,+114,-133
N/A,Houston Rockets,Indiana Pacers,117,123,-143,+122
N/A,New Orleans Pelicans,Memphis Grizzlies,115,116,-185,+154
