Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Toronto Raptors,Indiana Pacers,123,140,+622,-909
N/A,Los Angeles Lakers,Minnesota Timberwolves,117,127,+110,-130
N/A,Golden State Warriors,Utah Jazz,118,110,-769,+544
N/A,Brooklyn Nets,Sacramento Kings,77,107,+386,-526
N/A,Milwaukee Bucks,New York Knicks,109,122,-182,+154
N/A,San Antonio Spurs,Philadelphia 76ers,126,133,+142,-169
N/A,Boston Celtics,Portland Trail Blazers,124,107,-1667,+890
N/A,Charlotte Hornets,Oklahoma City Thunder,118,121,+244,-303
N/A,Orlando Magic,Chicago Bulls,113,98,-278,+225
N/A,Phoenix Suns,New Orleans Pelicans,105,113,-217,+179
N/A,Toronto Raptors,Washington Wizards,130,122,-196,+165
N/A,Indiana Pacers,Miami Heat,117,115,-145,+122
N/A,Dallas Mavericks,Houston Rockets,147,136,-400,+307
N/A,Los Angeles Clippers,Cleveland Cavaliers,120,118,-179,+147
N/A,Denver Nuggets,Atlanta Hawks,142,110,-667,+470
N/A,Memphis Grizzlies,Philadelphia 76ers,96,116,+722,-1250
N/A,Brooklyn Nets,Detroit Pistons,113,103,-476,+355
N/A,Los Angeles Lakers,Cleveland Cavaliers,116,97,-204,+168
N/A,Los Angeles Clippers,Utah Jazz,131,102,-833,+562
N/A,Phoenix Suns,Minnesota Timberwolves,97,87,-189,+156
N/A,Dallas Mavericks,Golden State Warriors,108,106,-112,-104
N/A,Chicago Bulls,New York Knicks,108,100,+102,-122
N/A,Houston Rockets,Miami Heat,104,119,+133,-159
N/A,Memphis Grizzlies,Detroit Pistons,108,90,-106,-111
N/A,Milwaukee Bucks,Toronto Raptors,111,117,-1111,+683
N/A,New Orleans Pelicans,San Antonio Spurs,109,111,-667,+470
N/A,Boston Celtics,Sacramento Kings,101,100,-400,+313
N/A,Charlotte Hornets,Orlando Magic,124,115,+503,-714
N/A,Indiana Pacers,Oklahoma City Thunder,126,112,-244,+197
N/A,Washington Wizards,Portland Trail Blazers,102,108,-143,+120
N/A,Los Angeles Clippers,Denver Nuggets,102,100,+127,-152
N/A,Houston Rockets,Golden State Warriors,110,133,+129,-156
N/A,Dallas Mavericks,Atlanta Hawks,109,95,-667,+473
N/A,Miami Heat,Philadelphia 76ers,105,109,-147,+125
N/A,New York Knicks,Sacramento Kings,120,109,-164,+139
N/A,Phoenix Suns,Cleveland Cavaliers,122,101,-238,+195
N/A,Milwaukee Bucks,Memphis Grizzlies,101,111,-833,+560
N/A,Minnesota Timberwolves,Toronto Raptors,133,85,-2000,+1062
N/A,New Orleans Pelicans,Orlando Magic,108,117,-196,+161
N/A,Atlanta Hawks,Detroit Pistons,121,113,-667,+465
N/A,Boston Celtics,Oklahoma City Thunder,135,100,-714,+494
N/A,Brooklyn Nets,Indiana Pacers,115,111,+213,-263
N/A,Charlotte Hornets,Portland Trail Blazers,86,89,-123,+104
N/A,Washington Wizards,Los Angeles Lakers,120,125,+554,-833
N/A,Golden State Warriors,Dallas Mavericks,104,100,-109,-109
N/A,Sacramento Kings,Los Angeles Clippers,109,95,-143,+119
N/A,Denver Nuggets,San Antonio Spurs,110,105,-1429,+836
N/A,Utah Jazz,Cleveland Cavaliers,113,129,+349,-455
N/A,Minnesota Timberwolves,Houston Rockets,113,106,-303,+244
N/A,Miami Heat,New York Knicks,109,99,-139,+117
N/A,Philadelphia 76ers,Oklahoma City Thunder,109,105,-145,+123
N/A,Toronto Raptors,Los Angeles Lakers,111,128,+612,-909
