Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Apr 7 2024,7:00p,New York Knicks,122,Milwaukee Bucks,109,Box Score,,17536,Fiserv Forum,
Sun Apr 7 2024,7:00p,Philadelphia 76ers,133,San Antonio Spurs,126,Box Score,2OT,18046,Frost Bank Center,
Sun Apr 7 2024,7:30p,Sacramento Kings,107,Brooklyn Nets,77,Box Score,,17732,Barclays Center,
Sun Apr 7 2024,8:30p,Utah Jazz,110,Golden State Warriors,118,Box Score,,18064,Chase Center,
Sun Apr 7 2024,10:00p,Minnesota Timberwolves,127,Los Angeles Lakers,117,Box Score,,18997,Crypto.com Arena,
Tue Apr 9 2024,7:00p,Dallas Mavericks,130,Charlotte Hornets,104,Box Score,,17425,Spectrum Center,
Tue Apr 9 2024,7:00p,Detroit Pistons,102,Philadelphia 76ers,120,Box Score,,19796,Wells Fargo Center,
Tue Apr 9 2024,7:00p,Indiana Pacers,140,Toronto Raptors,123,Box Score,,19325,Scotiabank Arena,
Tue Apr 9 2024,7:30p,Miami Heat,117,Atlanta Hawks,111,Box Score,2OT,17049,State Farm Arena,
Tue Apr 9 2024,7:30p,Boston Celtics,91,Milwaukee Bucks,104,Box Score,,17493,Fiserv Forum,
Tue Apr 9 2024,8:00p,New York Knicks,128,Chicago Bulls,117,Box Score,,21648,United Center,
Tue Apr 9 2024,8:00p,Orlando Magic,106,Houston Rockets,118,Box Score,,18055,Toyota Center,
Tue Apr 9 2024,8:00p,San Antonio Spurs,102,Memphis Grizzlies,87,Box Score,,16108,FedEx Forum,
Tue Apr 9 2024,8:00p,Washington Wizards,121,Minnesota Timberwolves,130,Box Score,,18024,Target Center,
Tue Apr 9 2024,8:00p,Sacramento Kings,105,Oklahoma City Thunder,112,Box Score,,17509,Paycom Center,
Tue Apr 9 2024,9:00p,Denver Nuggets,111,Utah Jazz,95,Box Score,,18206,Delta Center,
Tue Apr 9 2024,10:00p,Golden State Warriors,134,Los Angeles Lakers,120,Box Score,,18997,Crypto.com Arena,
Tue Apr 9 2024,10:00p,Los Angeles Clippers,105,Phoenix Suns,92,Box Score,,17071,Footprint Center,
Tue Apr 9 2024,10:00p,New Orleans Pelicans,110,Portland Trail Blazers,100,Box Score,,18341,Moda Center,
Wed Apr 10 2024,7:00p,Memphis Grizzlies,98,Cleveland Cavaliers,110,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Apr 10 2024,7:30p,Charlotte Hornets,115,Atlanta Hawks,114,Box Score,,16158,State Farm Arena,
Wed Apr 10 2024,7:30p,Toronto Raptors,102,Brooklyn Nets,106,Box Score,,17732,Barclays Center,
Wed Apr 10 2024,7:30p,Dallas Mavericks,111,Miami Heat,92,Box Score,,19660,Kaseya Center,
Wed Apr 10 2024,8:00p,Orlando Magic,99,Milwaukee Bucks,117,Box Score,,17563,Fiserv Forum,
Wed Apr 10 2024,8:00p,San Antonio Spurs,89,Oklahoma City Thunder,127,Box Score,,17229,Paycom Center,
Wed Apr 10 2024,10:00p,Minnesota Timberwolves,107,Denver Nuggets,116,Box Score,,19845,Ball Arena,
Wed Apr 10 2024,10:30p,Phoenix Suns,124,Los Angeles Clippers,108,Box Score,,19370,Crypto.com Arena,
Thu Apr 11 2024,7:00p,Chicago Bulls,127,Detroit Pistons,105,Box Score,,20013,Little Caesars Arena,
Thu Apr 11 2024,7:30p,New York Knicks,118,Boston Celtics,109,Box Score,,19156,TD Garden,
Thu Apr 11 2024,9:00p,Houston Rockets,121,Utah Jazz,124,Box Score,,18206,Delta Center,
Thu Apr 11 2024,10:00p,Golden State Warriors,100,Portland Trail Blazers,92,Box Score,,19335,Moda Center,
Thu Apr 11 2024,10:00p,New Orleans Pelicans,135,Sacramento Kings,123,Box Score,,17832,Golden 1 Center,
Fri Apr 12 2024,7:00p,Orlando Magic,113,Philadelphia 76ers,125,Box Score,,20149,Wells Fargo Center,
Fri Apr 12 2024,7:00p,Chicago Bulls,129,Washington Wizards,127,Box Score,,20333,Capital One Arena,
Fri Apr 12 2024,7:30p,Charlotte Hornets,98,Boston Celtics,131,Box Score,,19156,TD Garden,
Fri Apr 12 2024,7:30p,Indiana Pacers,120,Cleveland Cavaliers,129,Box Score,,19432,Rocket Mortgage Fieldhouse,
Fri Apr 12 2024,7:30p,Brooklyn Nets,107,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),
Fri Apr 12 2024,8:00p,Los Angeles Lakers,123,Memphis Grizzlies,120,Box Score,,17794,FedEx Forum,
Fri Apr 12 2024,8:00p,Toronto Raptors,103,Miami Heat,125,Box Score,,19600,Kaseya Center,
Fri Apr 12 2024,8:00p,Atlanta Hawks,106,Minnesota Timberwolves,109,Box Score,,18024,Target Center,
Fri Apr 12 2024,8:00p,Milwaukee Bucks,107,Oklahoma City Thunder,125,Box Score,,18203,Paycom Center,
Fri Apr 12 2024,8:00p,Denver Nuggets,120,San Antonio Spurs,121,Box Score,,18665,Frost Bank Center,
Fri Apr 12 2024,8:30p,Detroit Pistons,107,Dallas Mavericks,89,Box Score,,20274,American Airlines Center,
Fri Apr 12 2024,10:00p,New Orleans Pelicans,114,Golden State Warriors,109,Box Score,,18064,Chase Center,
Fri Apr 12 2024,10:00p,Houston Rockets,116,Portland Trail Blazers,107,Box Score,,18630,Moda Center,
Fri Apr 12 2024,10:30p,Utah Jazz,110,Los Angeles Clippers,109,Box Score,,19370,Crypto.com Arena,
Fri Apr 12 2024,10:30p,Phoenix Suns,108,Sacramento Kings,107,Box Score,,17832,Golden 1 Center,
Sun Apr 14 2024,1:00p,Washington Wizards,122,Boston Celtics,132,Box Score,,19156,TD Garden,
Sun Apr 14 2024,1:00p,Charlotte Hornets,120,Cleveland Cavaliers,110,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Apr 14 2024,1:00p,Atlanta Hawks,115,Indiana Pacers,157,Box Score,,17274,Gainbridge Fieldhouse,
Sun Apr 14 2024,1:00p,Toronto Raptors,103,Miami Heat,118,Box Score,,19600,Kaseya Center,
Sun Apr 14 2024,1:00p,Chicago Bulls,119,New York Knicks,120,Box Score,OT,19812,Madison Square Garden (IV),
Sun Apr 14 2024,1:00p,Milwaukee Bucks,88,Orlando Magic,113,Box Score,,18846,Kia Center,
Sun Apr 14 2024,1:00p,Brooklyn Nets,86,Philadelphia 76ers,107,Box Score,,20246,Wells Fargo Center,
Sun Apr 14 2024,3:30p,Utah Jazz,116,Golden State Warriors,123,Box Score,,18064,Chase Center,
Sun Apr 14 2024,3:30p,Houston Rockets,116,Los Angeles Clippers,105,Box Score,,19370,Crypto.com Arena,
Sun Apr 14 2024,3:30p,Denver Nuggets,126,Memphis Grizzlies,111,Box Score,,17544,FedEx Forum,
Sun Apr 14 2024,3:30p,Phoenix Suns,125,Minnesota Timberwolves,106,Box Score,,18024,Target Center,
Sun Apr 14 2024,3:30p,Los Angeles Lakers,124,New Orleans Pelicans,108,Box Score,,18633,Smoothie King Center,
Sun Apr 14 2024,3:30p,Dallas Mavericks,86,Oklahoma City Thunder,135,Box Score,,18203,Paycom Center,
Sun Apr 14 2024,3:30p,Portland Trail Blazers,82,Sacramento Kings,121,Box Score,,18037,Golden 1 Center,
Sun Apr 14 2024,3:30p,Detroit Pistons,95,San Antonio Spurs,123,Box Score,,18516,Frost Bank Center,
Tue Apr 16 2024,7:30p,Los Angeles Lakers,110,New Orleans Pelicans,106,Box Score,,18591,Smoothie King Center,Play-In Game
Tue Apr 16 2024,10:00p,Golden State Warriors,94,Sacramento Kings,118,Box Score,,18304,Golden 1 Center,Play-In Game
Wed Apr 17 2024,7:00p,Miami Heat,104,Philadelphia 76ers,105,Box Score,,19788,Wells Fargo Center,Play-In Game
Wed Apr 17 2024,9:30p,Atlanta Hawks,116,Chicago Bulls,131,Box Score,,21627,United Center,Play-In Game
Fri Apr 19 2024,7:00p,Chicago Bulls,91,Miami Heat,112,Box Score,,19600,Kaseya Center,Play-In Game
Fri Apr 19 2024,9:30p,Sacramento Kings,98,New Orleans Pelicans,105,Box Score,,18656,Smoothie King Center,Play-In Game
Sat Apr 20 2024,1:00p,Orlando Magic,83,Cleveland Cavaliers,97,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Apr 20 2024,3:30p,Phoenix Suns,95,Minnesota Timberwolves,120,Box Score,,19478,Target Center,
Sat Apr 20 2024,6:00p,Philadelphia 76ers,104,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),
Sat Apr 20 2024,8:30p,Los Angeles Lakers,103,Denver Nuggets,114,Box Score,,19731,Ball Arena,
Sun Apr 21 2024,1:00p,Miami Heat,94,Boston Celtics,114,Box Score,,19156,TD Garden,
Sun Apr 21 2024,3:30p,Dallas Mavericks,97,Los Angeles Clippers,109,Box Score,,19370,Crypto.com Arena,
Sun Apr 21 2024,7:00p,Indiana Pacers,94,Milwaukee Bucks,109,Box Score,,17341,Fiserv Forum,
Sun Apr 21 2024,9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,94,Box Score,,18203,Paycom Center,
Mon Apr 22 2024,7:00p,Orlando Magic,86,Cleveland Cavaliers,96,Box Score,,19432,Rocket Mortgage Fieldhouse,
Mon Apr 22 2024,7:30p,Philadelphia 76ers,101,New York Knicks,104,Box Score,,19812,Madison Square Garden (IV),
